ID	CTLi_RNAseq_rep1	CTLi_RNAseq_rep2	CTLi_RNAseq_rep3	SPT6i_RNAseq_rep1	SPT6i_RNAseq_rep2	SPT6i_RNAseq_rep3
ADAM10	3.50442	3.4117	3.371	5.20564	5.09765	5.12042
ADAM15	5.32851	5.01414	5.47462	8.61037	8.77556	8.55316
ADAM19	-1.31261	-1.68231	-0.74158	1.01852	1.1299	0.825665
ADAM20P1	-3.13913	-2.99652	-3.51003	-2.33675	-2.08417	-2.16558
ADAM21	-4.74867	-3.61225	-4.18669	-1.61228	-1.28894	-0.753066
ADAM9	5.61118	5.44417	5.60419	7.84423	7.68748	7.90587
ADAMTS13	-2.69415	-2.63813	-3.23797	-0.244294	-0.0206311	0.208168
ADAMTS4	-5.82635	-5.14995	-5.48676	-2.33209	-2.33082	-2.37001
ADAMTSL4	5.01452	4.12711	5.07432	2.45783	2.18799	2.79929
ADAMTSL5	1.49943	0.7259	2.02179	-1.91321	-1.22323	-1.11755
ADAP2	3.41741	3.32144	3.30323	-0.665296	-0.735956	-0.284835
ADAR	4.14076	4.38149	4.41891	6.12074	5.91483	5.94786
ADARB1	1.38096	1.50405	1.3129	-0.122314	-0.141667	-0.382134
ADAT1	0.809485	1.3109	1.05409	2.74354	2.62985	2.53581
ADCY3	1.62865	1.58823	1.76453	-2.07808	-1.05292	-1.37058
ADCY4	-7.23573	-5.33694	-6.25871	-1.46845	-2.01085	-1.20107
ADCY7	2.20812	2.45645	2.67161	0.289734	0.439635	0.446841
ADD1	4.75702	4.76774	4.84037	5.97827	5.95243	6.08599
ADGRF2	0.0531029	0.107339	-0.338658	-2.338	-2.53219	-2.39815
ADGRF3	-3.44913	-3.67726	-3.28054	-1.06271	-0.959566	-0.816657
ADGRF5	-4.92083	-4.88454	-4.35885	-2.65399	-2.49665	-2.64397
ADGRG1	5.91144	5.81605	5.98646	4.66455	4.90917	5.11923
ADM2	0.939763	0.990901	-0.584281	-3.62776	-3.27351	-2.90404
ADNP	3.32594	3.67289	3.30957	4.49195	4.32227	4.60203
ADNP-AS1	-2.21843	-1.28793	-1.41134	0.768868	0.964279	0.901566
ADO	1.69915	1.7792	1.51639	3.26251	3.15746	3.06303
ADPGK	2.73313	2.96397	2.90137	4.62616	4.7055	4.30106
ADPRHL1	-2.05834	-1.51624	-2.7732	0.0585485	0.394371	0.292774
ADSS2	2.94127	3.40079	3.04881	4.42871	4.39583	4.34061
ADTRP	3.09733	3.31751	3.23282	-1.47078	-0.86118	-1.18797
AEN	2.49799	2.72972	2.44607	5.66305	5.64093	5.36075
AFAP1	1.0957	1.00822	1.20775	2.8709	2.85895	2.95698
AFAP1L1	0.91801	1.30265	0.748727	-1.57868	-1.5791	-1.68991
AFAP1L2	3.83635	3.56651	3.96468	1.83575	2.06829	2.35425
AFG1L	-1.17223	-0.817761	-1.19521	0.105791	0.281821	0.155335
AFTPH	4.32449	4.33511	4.18191	5.36898	5.21227	5.31007
AGA	2.09104	2.48204	2.40261	3.98541	3.89559	3.6962
AGAP4	-0.173652	0.41169	0.246935	1.17762	1.41011	1.43002
AGAP6	-1.30466	-1.97944	-2.01454	-0.0083932	0.11649	-0.123498
AGBL3	-4.92619	-4.42333	-4.57066	-1.40809	-1.3187	-1.97125
AGK	1.40189	1.68168	1.47917	3.16138	3.25342	3.02576
AGO2	1.46159	1.54379	1.17575	2.63642	2.61532	2.87595
AGPAT1	2.31877	2.75345	2.55661	3.62606	3.71592	3.72852
AGPAT2	2.34003	2.48666	3.09956	4.91942	5.44331	5.2135
AGPS	1.53722	2.20494	1.67344	3.76137	3.70716	3.77497
AGR2	-2.64786	-3.36051	-1.88235	4.1092	4.45413	4.17693
AHI1	0.148232	0.759153	0.279224	2.86279	2.65589	3.02547
AHR	2.60778	3.08766	2.37741	4.19246	3.90182	4.09954
AHSA1	5.07374	5.33689	5.2428	6.25151	6.398	6.05207
AIF1L	4.25785	3.36349	3.68517	-1.58512	-1.56756	-1.31378
AIG1	1.46046	1.24155	1.50256	0.0356385	0.106675	0.287837
AIMP1	2.87179	3.26113	2.99972	4.50094	4.34805	4.09009
AIMP2	2.29157	2.5661	2.6015	1.25362	1.36947	1.29079
AJAP1	-0.428013	-0.783865	-0.274707	-2.04372	-1.6338	-1.67075
AJUBA	5.11897	4.86687	4.94534	3.36198	3.75404	3.63405
AK4	2.65242	2.78406	2.72905	0.236689	0.517276	0.539888
AK6	1.95542	2.35163	1.98122	3.44796	3.4085	3.03684
AK7	-2.68072	-2.10386	-2.27306	-5.71002	-5.14933	-5.12381
AK8	-1.36587	-1.01849	-1.26686	0.694362	0.631362	0.70038
AKAP1	1.09336	1.70903	1.27486	3.03747	3.227	3.0285
AKAP17A	2.19091	1.84086	2.27125	3.29685	3.5065	3.57156
AKAP3	-2.2279	-2.37974	-2.25089	1.24967	1.06359	1.45675
AKAP8	2.46838	2.32163	2.65976	3.48396	3.62037	3.79996
AKAP9	2.40962	2.70914	2.24131	4.00291	3.88249	4.08057
AKR1B10	5.20362	5.1164	5.68412	0.0320097	1.30595	0.903198
AKR1C1	3.90104	3.34335	3.16593	-1.54077	-1.57616	-1.78181
AKR1C2	6.01315	5.43063	5.52477	0.203687	0.219114	0.2883
AKR1C3	4.2353	3.58907	3.74586	-1.7079	-1.14296	-1.34951
AKT1	3.65391	3.98438	3.91349	5.03519	5.10692	4.91994
ALCAM	3.42336	3.3408	3.45503	6.55435	6.3795	6.59536
ALDH1L1	-0.511312	-0.222255	-0.402382	-2.90868	-2.50845	-2.66351
ALDH2	1.39443	1.46239	1.7872	-2.96144	-1.78966	-1.67797
ALDH3B2	6.43775	6.25851	6.64092	2.23218	2.60375	2.29343
ALDH4A1	2.72972	2.89003	2.89695	1.63451	1.86275	1.65956
ALDH5A1	0.561646	1.32182	1.14935	-5.48325	-6.24448	-5.63401
ALDH8A1	-0.310686	-0.226222	-0.68634	-2.60651	-1.96781	-1.86829
ALG1	0.752223	1.10497	1.15698	2.261	2.39807	2.25365
ALG11	1.55256	1.99584	1.70385	4.02637	3.99497	3.78121
ALG2	2.8399	2.9616	2.86622	4.14697	4.20054	3.91979
ALG3	2.54425	2.81625	2.97025	4.02317	4.18089	3.92841
ALG5	3.19326	3.5002	3.40287	4.53309	4.54646	4.15919
ALKBH1	1.44375	1.56995	1.50379	3.20355	3.07975	2.938
ALKBH5	2.78295	3.03809	2.99745	4.37205	4.4751	4.27067
ALKBH8	0.393278	0.939907	0.664025	2.66254	2.53217	2.41494
ALOX12	-0.354599	-0.633349	-0.475762	-1.78634	-2.04507	-2.35214
ALOX12B	7.06333	7.11388	7.11463	-3.59565	-2.20488	-2.78705
ALOX15B	3.07893	2.32493	3.64812	-1.92177	-0.922955	-1.18123
ALOXE3	4.95918	4.99866	4.88918	-0.684124	0.392693	0.233293
ALPK1	0.621205	1.05737	0.739984	1.94713	1.7602	1.79771
ALPK3	-3.02746	-2.8751	-1.78036	0.312692	0.273925	0.378697
ALX3	0.0808393	0.0727373	-0.205177	1.24887	0.97869	0.898271
AMDHD1	0.38388	0.617256	0.763657	-3.00451	-2.22142	-2.54383
AMDHD2	1.17393	1.45024	1.86292	3.41439	3.59845	3.26118
AMFR	4.04089	4.11265	4.17252	5.23221	5.17872	5.21973
AMIGO1	0.582134	0.677723	0.371782	-2.98662	-3.23328	-2.92236
AMIGO2	1.1923	1.79582	1.69832	-1.35588	-0.451887	-1.13532
AMIGO3	-1.27334	-0.696482	-0.421856	1.68761	1.66697	1.81711
AMMECR1L	2.2338	2.55012	2.2484	4.19533	4.1572	4.07781
AMN1	0.930154	1.04378	0.803563	3.7094	3.74412	3.27898
AMPD3	4.89545	4.49042	4.24183	2.47887	2.68018	3.09589
AMY2B	-1.64831	-0.908636	-1.13976	1.78068	1.66681	2.06463
AMZ1	-1.22102	-1.01856	-1.48252	-5.70405	-4.88032	-4.8548
ANAPC10	0.781321	1.37306	1.11555	2.41368	2.38341	2.08423
ANAPC2	3.03651	3.18359	3.31939	4.06692	4.35992	4.27824
ANAPC5	4.29224	4.80519	4.4988	5.61313	5.60227	5.5409
ANGPT2	-7.74211	-6.16525	-6.17422	-3.12882	-3.1022	-3.72305
ANK1	-4.23152	-2.72866	-4.18411	-0.678371	-0.369217	-0.187579
ANKDD1A	-2.02424	-1.37921	-1.91396	-0.561349	-0.168599	-0.235007
ANKDD1B	-1.44801	-2.2611	-1.54899	1.61424	1.79086	1.90023
ANKFN1	-2.66211	-1.34356	-1.86094	-7.68355	-6.53789	-6.09734
ANKFY1	2.77349	2.91671	2.90092	4.01051	3.88678	4.01697
ANKH	1.6936	2.07694	1.62721	-0.17364	-0.0430186	-0.0196892
ANKIB1	2.94787	3.0877	2.79636	4.16251	3.96375	4.0321
ANKMY1	-1.53625	-1.24497	-1.00034	1.87542	1.95233	2.07984
ANKRA2	1.6584	2.0611	2.02947	4.46098	4.23744	4.16364
ANKRD10	0.331811	1.89239	0.758136	3.92726	3.91084	4.05515
ANKRD11	3.43172	3.3753	3.25091	4.32752	4.34733	4.72002
ANKRD12	1.64381	1.94267	1.78292	3.61073	3.52877	3.72361
ANKRD2	-3.35294	-1.83748	-1.87342	0.829374	1.35227	1.2787
ANKRD20A8P	-26.5754	-26.5754	-26.5753	-6.5626	-5.21816	-7.34841
ANKRD22	5.18011	5.31407	4.94968	2.96357	2.91756	2.46532
ANKRD34A	-4.60935	-3.44752	-3.51685	-0.963086	-1.13936	-1.30649
ANKRD35	3.74435	3.96003	3.97371	-2.48432	-1.81671	-1.69166
ANKRD36C	-2.77957	-2.40524	-2.24935	1.72356	1.33235	1.15764
ANKRD40	1.90081	2.14974	1.78593	3.66241	3.75876	3.49874
ANKRD42	1.17567	1.1501	1.04597	2.52391	2.52921	2.30501
ANKRD50	2.05088	2.28087	2.1977	3.39787	3.17399	3.48771
ANKRD52	2.49783	2.62792	2.696	3.57157	3.6458	3.75657
ANKRD9	1.20177	1.34529	1.02144	2.52843	2.48779	2.5938
ANKS6	0.775483	0.793827	1.08592	-0.292322	-0.462924	-0.0911709
ANO10	3.91996	4.12667	4.05477	2.46155	2.59784	2.64967
ANO6	2.62392	2.81492	2.90675	4.42976	4.40434	4.68234
ANO8	2.79436	2.66357	3.00821	1.29659	1.69222	1.79431
ANOS1	-0.0432568	0.452515	0.415847	-2.22435	-1.79371	-1.79568
ANP32A	4.15404	4.49645	4.26218	5.72758	5.5833	5.35048
ANTXR2	-0.494445	1.1179	0.819367	3.63162	3.50882	3.28129
ANXA4	3.48793	3.51854	3.88824	6.5297	6.40996	6.43181
ANXA8	4.61443	4.24496	4.96272	2.77895	3.09809	3.00571
ANXA8L1	6.32881	6.37408	6.85448	3.70626	4.26724	4.18151
ANXA9	6.29226	6.26628	6.32378	1.67418	1.70287	1.77159
AOC1	-4.17402	-4.18213	-1.92399	1.79417	2.44233	2.98681
AOC2	-1.81073	-1.69621	-0.955019	1.86888	1.96245	2.07487
AOC3	-3.93938	-3.06706	-3.5149	-0.239942	-0.0185778	0.233011
AP1S1	4.349	4.45232	4.56757	6.43247	6.45925	5.99966
AP2A2	2.9444	3.04684	3.00795	4.36446	4.48401	4.62501
AP2M1	6.21589	6.42408	6.36207	7.48385	7.58148	7.52143
AP4S1	-0.0920304	0.323486	-0.195012	1.59612	1.43085	1.31672
AP5M1	0.346354	0.990981	0.52615	2.08976	2.04692	2.22419
AP5S1	-0.515976	-0.0646473	-0.110114	1.16861	1.2648	1.14739
APAF1	0.338873	0.441166	0.339099	2.7182	2.29429	2.46791
APBA1	-1.39369	-0.540892	-1.15836	-2.9869	-2.50867	-2.76326
APBB3	1.10824	1.45377	1.52302	2.56382	2.68132	2.94236
APCDD1	0.442798	0.825049	1.18535	-3.66171	-2.2779	-3.19098
APCDD1L-DT	-0.324485	-1.16266	-0.552287	-5.50265	-4.357	-6.91644
APH1B	0.0634397	0.840523	0.222936	4.08335	3.82751	3.85673
API5	4.41813	4.64003	4.40738	5.88221	5.73385	5.56823
APIP	1.44737	1.92163	1.86214	3.7203	3.50243	3.3084
APLP2	6.83416	6.50489	6.87802	8.63101	8.55509	8.48449
APMAP	3.81951	4.27985	3.90435	6.78688	7.08391	6.44896
APOB	-1.95463	-1.06366	-2.86513	-7.66982	-6.69409	-5.66858
APOBEC3B-AS1	-26.5754	-26.5754	-26.5754	-3.68872	-0.92118	-2.08488
APOBEC3C	2.68107	3.06069	2.7056	4.26796	4.1729	4.06821
APOBEC3H	-5.54092	-2.64213	-5.5639	3.50793	3.3637	3.03674
APOBR	-4.26727	-2.78352	-3.83082	-0.866121	-0.587826	-0.716482
APOE	2.84342	2.53145	3.01964	1.06622	1.40828	1.49163
APOL1	0.629008	0.815661	1.16573	3.80432	3.84495	3.69818
APOL2	2.09131	2.30893	2.47402	4.94249	4.94756	4.76768
APOL3	-3.92015	-2.75833	-3.15464	-0.930664	-0.843503	-0.775555
APOL4	0.778623	0.228851	1.31203	-4.2069	-4.05153	-3.7138
APOL6	0.840115	1.02927	1.01052	4.56028	4.42353	4.1872
APOLD1	-2.10735	-2.37849	-2.09863	5.6555	5.41092	5.35653
APOM	-2.31014	-0.964238	-2.35592	0.829881	1.27434	1.32561
APOOL	1.56131	1.87083	1.59849	2.82391	2.69413	2.88879
APP	7.17649	7.13717	7.58196	8.93486	9.04038	8.96457
APTR	-0.823769	-0.911957	-1.27118	1.59919	1.6448	1.61377
AQP7	-3.18287	-2.35243	-4.19845	0.597975	0.972557	0.853298
AQP7P3	-4.42565	-5.84879	-5.44863	-2.05692	-1.95566	-1.34518
AQP9	5.16962	5.23158	4.61494	-2.04739	-0.608001	-0.157987
AQR	2.42446	2.62863	2.32068	3.61666	3.44336	3.63806
ARAP2	3.41301	3.52575	3.09007	4.40198	4.23148	4.40325
AREL1	2.76123	2.93653	2.86144	4.56108	4.52226	4.35553
ARF1	6.72752	6.65458	6.69783	7.69584	7.82027	7.58742
ARF3	5.29472	5.36958	5.47539	6.44433	6.4213	6.38952
ARFGAP1	3.33397	3.26332	3.63839	4.81038	4.9773	4.9508
ARFGAP3	2.42027	2.69962	2.48689	4.63826	4.57921	4.60132
ARFGEF2	2.7429	3.01767	2.62775	3.92392	3.77496	4.02104
ARFGEF3	-3.65261	-2.7659	-3.19447	1.31467	1.46603	1.54275
ARFIP1	2.97355	3.21939	2.96281	4.77599	4.604	4.68351
ARG2	3.11057	3.37264	3.27697	1.14684	1.74455	1.46328
ARHGAP11A	0.273972	0.58698	0.675683	-1.39299	-1.45884	-0.812881
ARHGAP12	1.80959	2.02784	1.76662	4.27375	4.08041	4.30242
ARHGAP17	3.40677	3.38738	3.45396	4.69569	4.66273	4.88734
ARHGAP21	2.85431	2.85691	2.81643	4.54533	4.30332	4.50489
ARHGAP23	4.01933	3.72409	4.11507	1.77142	2.23647	2.40077
ARHGAP26	-0.139472	0.457732	0.0575949	1.49402	1.65736	1.88527
ARHGAP40	2.61367	2.39122	2.60238	-2.479	-2.27194	-1.68843
ARHGAP42	-1.09337	-0.433906	-0.862307	1.49571	1.44404	1.70782
ARHGAP5	3.59701	3.69995	3.39784	5.19567	4.96239	5.29875
ARHGAP5-AS1	0.342814	0.863965	1.20618	4.40984	4.31337	4.06655
ARHGEF10L	4.77354	4.71331	4.53358	2.09807	2.1352	2.75501
ARHGEF16	1.89029	1.54961	2.33811	4.04698	4.31283	4.34666
ARHGEF2	2.93785	2.78845	2.63714	1.55277	1.57789	1.93364
ARHGEF26	0.920503	1.19142	0.840651	-0.293839	-0.0175989	0.144582
ARHGEF28	2.92907	2.74052	2.72463	4.16761	4.08433	4.2238
ARHGEF33	-4.93311	-4.99368	-4.44152	-2.13073	-1.65577	-1.40485
ARHGEF40	0.160945	0.769433	0.557512	2.32603	2.28793	2.38563
ARHGEF7	1.64502	1.86375	1.58347	2.77376	2.73979	2.98479
ARID1A	3.3364	3.62642	3.28241	4.43473	4.33501	4.67338
ARID3A	0.626803	0.0225752	0.592171	1.89393	1.75833	1.97052
ARID3C	-5.23884	-5.66197	-5.26182	-2.00761	-1.86196	-1.69894
ARID4A	2.00043	2.17671	1.7075	3.33727	3.23093	3.48199
ARIH2	2.6571	2.88587	2.58147	3.88637	3.89189	3.73149
ARIH2OS	-2.42254	-1.98157	-2.34085	-0.177811	-0.354691	-0.676811
ARL10	0.211596	0.248831	0.0151164	-3.41309	-3.48316	-3.43456
ARL11	-1.10685	-0.86816	-0.1625	-2.74008	-2.70295	-3.15388
ARL14	-2.009	-0.884654	-0.732424	2.68367	2.86384	2.55755
ARL14EP	2.03469	2.37421	2.08296	3.60367	3.4393	3.25535
ARL15	2.14504	2.47374	2.3879	3.86238	3.30989	3.53223
ARL16	2.29553	2.238	2.39562	4.78733	4.9221	4.69571
ARL4D	3.48945	3.46776	3.68024	1.30777	1.61733	1.38184
ARL5A	5.14392	5.61627	5.15257	2.68945	2.49605	2.55027
ARL6IP1	4.87103	4.90758	4.84159	7.80056	7.72787	7.46265
ARL6IP4	4.35736	4.31671	4.38621	5.45196	5.65129	5.31782
ARL6IP5	3.45998	4.82462	4.031	6.97674	6.88543	6.6774
ARL8A	3.2525	3.56474	3.1307	4.99899	4.98914	4.6743
ARMC2	-2.43922	-2.71552	-2.14027	-0.314913	-0.284733	-0.581148
ARMCX2	1.08703	1.76809	0.781021	-0.685252	-0.776634	-0.751119
ARMCX5	1.50038	1.84261	1.51724	2.79421	2.47051	2.60141
ARMCX6	2.40651	2.93946	2.47729	1.60626	1.62381	1.51553
ARMH1	-2.40345	-1.77214	-2.03941	0.180442	0.432187	0.704495
ARMT1	2.70178	2.88027	2.88735	5.2107	4.98691	5.02072
ARNTL	1.44267	1.87487	1.32239	3.00499	3.10944	2.82023
ARNTL2	5.01339	4.73663	4.75769	3.93046	3.69273	3.59321
ARPC4-TTLL3	-0.932963	-0.658058	-0.519763	0.475499	0.196612	0.749348
ARPP19	3.75144	4.05916	3.73372	5.181	5.01522	4.93599
ARRB1	2.94621	3.33599	3.14635	-2.35896	-2.22889	-1.15709
ARRB2	2.11258	2.69813	2.22671	4.10857	4.24117	3.99061
ARRDC1-AS1	0.809443	0.702976	0.380141	2.52983	2.89467	2.36594
ARRDC3-AS1	-3.49747	-3.18364	-3.36844	0.0998839	0.0120514	-0.457642
ARRDC4	4.9461	4.77475	4.83663	6.14468	6.05058	6.09009
ARSA	2.19361	1.71894	2.56245	3.75035	3.78574	3.68413
ARSB	-1.6803	-0.558557	-1.08576	2.51793	2.56565	2.5679
ARSI	3.11146	3.11683	2.95005	0.921033	1.58013	1.27111
ARTN	3.31688	2.78724	3.17552	0.249814	0.721241	0.0250559
ARVCF	0.205488	0.305611	0.0802566	2.46114	2.70062	2.77975
ASAH1	4.48017	5.39611	4.8975	7.01624	7.06977	6.97044
ASAP2	3.71427	3.25836	3.39809	5.14131	5.03565	5.35705
ASAP3	2.31224	2.61761	2.61469	-2.8176	-1.73084	-1.68543
ASB1	0.969013	1.03091	1.11478	2.36053	2.34938	2.41833
ASB16	-3.02764	-2.45892	-1.59225	0.372806	0.293043	0.8013
ASB16-AS1	-0.653214	-0.422418	-0.138453	2.64263	2.87552	2.53432
ASB3	1.73194	1.56157	1.60728	3.26214	3.13169	3.1677
ASB6	2.54999	2.42681	2.67548	4.06114	4.19655	4.09636
ASB7	1.95851	1.99512	1.81097	3.52343	3.34887	3.50476
ASB9	-6.3608	-5.78394	-4.79882	-1.09017	-2.12942	-1.50507
ASCC1	1.6227	1.82432	1.90521	3.36115	3.34423	3.23445
ASF1A	2.14444	2.77477	2.23872	3.72519	3.62594	3.50689
ASH1L	2.65223	2.90481	2.45184	3.85748	3.76423	3.92967
ASH1L-AS1	-2.14287	-2.02467	-1.92136	-0.0954666	0.13589	-0.586043
ASIC1	-2.27849	-1.00119	-2.6234	-5.36919	-7.13042	-6.51995
ASIC3	-1.46724	-2.72991	-1.05412	2.28534	2.49272	2.59723
ASL	3.09503	2.94831	3.26939	1.48591	1.51951	1.38477
ASPHD1	-2.11761	-2.04325	-1.83574	-4.29578	-5.73508	-4.70957
ASPM	-0.794622	-0.360368	-0.132476	-3.07233	-2.27459	-2.11356
ASPRV1	8.951	9.66388	8.55881	2.73036	2.83306	3.43718
ASS1	7.1446	5.51399	6.22784	2.4896	2.59727	2.72671
ASXL1	1.34596	1.74461	1.50494	2.80905	2.81232	3.01464
ATAD1	2.71407	3.08605	2.59256	4.65672	4.45711	4.38767
ATAD3C	-1.61356	-1.88669	-1.28404	0.995146	0.94623	1.46868
ATE1-AS1	-1.41014	-1.88761	-1.15374	0.98572	0.880911	1.14925
ATF1	2.137	2.4976	2.17305	3.73459	3.47384	3.65575
ATF3	2.77348	2.57519	1.6386	6.73412	6.63312	6.19837
ATF4	7.13256	7.15789	6.71299	5.76994	5.96706	5.95081
ATF6	3.39573	3.39349	3.25369	5.25528	5.26366	5.08278
ATF7IP2	-1.18822	-1.05584	-1.2556	0.509568	0.594927	1.06379
ATG12	2.30022	2.56566	2.23443	3.92041	3.79115	3.70969
ATG13	3.58963	3.713	3.53628	4.79582	4.80891	4.81103
ATG14	2.25606	2.24796	2.21243	4.09052	3.96457	4.21286
ATG16L1	2.56703	2.6602	2.91372	4.7406	4.77795	4.69136
ATG16L2	2.51279	2.40275	2.96021	1.01071	1.02617	1.03016
ATG4A	3.3702	3.2615	3.24367	4.44969	4.36616	4.3499
ATG5	2.28934	2.46814	2.33308	4.08315	3.81173	3.72936
ATG7	2.00434	2.08426	1.98817	3.61206	3.54548	3.63097
ATG9A	3.72837	3.77898	3.87169	5.16069	5.18339	5.2889
