ProbeID	Name	GSM4634681	GSM4634685	GSM4634683	GSM4634682	GSM4634686	GSM4634684
ACBD3-AS1	ACBD3-AS1: 	-1.36453	2.62986	-2.15702	0.0460221	2.4917	2.93945
ACBD5	ACBD5: 	4.01164	2.50453	3.88147	3.75991	2.38594	2.25871
ACBD7	ACBD7: 	-2.05879	-5.5202	-2.01667	-1.9364	-4.79811	-6.09706
ACD	ACD: 	2.2174	1.00337	2.41056	2.37567	1.12467	0.893078
ACER1	ACER1: 	-3.62708	4.90157	-2.66236	-2.80335	4.82952	4.63955
ACER2	ACER2: 	4.18218	0.849087	4.30323	4.17242	0.669576	0.374588
ACKR2	ACKR2: 	2.65018	-1.76263	2.79505	2.5142	-0.838912	-1.83699
ACKR3	ACKR3: 	-0.0860935	4.3054	0.849923	1.15047	4.46328	4.53047
ACO2	ACO2: 	5.64434	4.68038	5.70867	5.74752	4.42457	4.42078
ACOT11	ACOT11: 	-1.97833	2.13807	-1.78082	-1.5555	2.67606	2.39256
ACOT4	ACOT4: 	-3.33519	-0.891222	-2.97137	-2.58184	-1.48985	-1.40798
ACP1	ACP1: 	5.5269	4.25026	5.2	5.56545	4.05472	4.15493
ACP2	ACP2: 	4.52389	2.44087	4.49699	4.61967	2.24444	1.84919
ACP3	ACP3: 	-1.46808	3.00509	-0.919028	-1.17532	2.6957	2.70287
ACP6	ACP6: 	0.766919	-1.69238	0.804131	0.640767	-1.37968	-1.83314
ACP7	ACP7: 	1.51578	6.69491	2.05709	2.05215	6.2535	6.9952
ACSBG1	ACSBG1: 	-4.37954	1.47325	-4.33431	-3.86978	0.504016	-0.0140116
ACSF3	ACSF3: 	1.50092	0.625205	1.70326	1.67937	0.246716	0.330581
ACSL3	ACSL3: 	5.85195	4.36805	5.78511	5.94518	3.82987	4.01291
ACSS2	ACSS2: 	1.40182	3.01399	1.2008	1.39914	3.16726	2.94946
ACTA2	ACTA2: 	4.53602	0.515291	4.70128	4.50941	-0.54926	-0.778117
ACTB	ACTB: 	9.23657	10.1363	9.2876	9.42567	10.4058	10.6445
ACTG1	ACTG1: 	9.18566	10.2701	9.24476	9.36826	10.1886	10.6379
ACTG1P20	ACTG1P20: 	2.15131	3.35357	2.21701	2.12293	2.94452	3.28934
ACTL6A	ACTL6A: 	4.44125	3.46867	4.24603	4.37574	3.29178	3.14244
ACTR3C	ACTR3C: 	-3.49626	-1.67769	-3.58093	-3.48178	-1.87349	-1.80067
ACTRT3	ACTRT3: 	0.183553	-1.41897	0.19357	0.340892	-1.46242	-1.83537
ACVR1	ACVR1: 	3.91001	2.56974	3.88952	3.83031	2.49906	2.32005
ACVR2A	ACVR2A: 	2.98357	1.41094	2.85934	2.7253	0.783737	1.04885
ACVR2B-AS1	ACVR2B-AS1: 	-0.391681	-4.77723	-0.261647	-0.275288	-5.11403	-5.67601
ACYP1	ACYP1: 	2.38896	1.15471	2.01525	2.31298	0.809439	0.602938
ACYP2	ACYP2: 	1.16834	0.20876	1.42649	1.32536	-0.0736946	0.34909
ADAL	ADAL: 	0.842924	-0.402579	0.486413	0.472273	-0.763163	-0.97592
ADAM10	ADAM10: 	5.20564	3.4117	5.12042	5.09765	3.371	3.50442
ADAM15	ADAM15: 	8.61037	5.01414	8.55316	8.77556	5.47462	5.32851
ADAM19	ADAM19: 	1.01852	-1.68231	0.825665	1.1299	-0.74158	-1.31261
ADAM20P1	ADAM20P1: 	-2.33675	-2.99652	-2.16558	-2.08417	-3.51003	-3.13913
ADAM21	ADAM21: 	-1.61228	-3.61225	-0.753066	-1.28894	-4.18669	-4.74867
ADAM9	ADAM9: 	7.84423	5.44417	7.90587	7.68748	5.60419	5.61118
ADAMTS13	ADAMTS13: 	-0.244294	-2.63813	0.208168	-0.0206311	-3.23797	-2.69415
ADAMTS4	ADAMTS4: 	-2.33209	-5.14995	-2.37001	-2.33082	-5.48676	-5.82635
ADAMTSL4	ADAMTSL4: 	2.45783	4.12711	2.79929	2.18799	5.07432	5.01452
ADAMTSL5	ADAMTSL5: 	-1.91321	0.7259	-1.11755	-1.22323	2.02179	1.49943
ADAP2	ADAP2: 	-0.665296	3.32144	-0.284835	-0.735956	3.30323	3.41741
ADAR	ADAR: 	6.12074	4.38149	5.94786	5.91483	4.41891	4.14076
ADARB1	ADARB1: 	-0.122314	1.50405	-0.382134	-0.141667	1.3129	1.38096
ADAT1	ADAT1: 	2.74354	1.3109	2.53581	2.62985	1.05409	0.809485
ADCY3	ADCY3: 	-2.07808	1.58823	-1.37058	-1.05292	1.76453	1.62865
ADCY4	ADCY4: 	-1.46845	-5.33694	-1.20107	-2.01085	-6.25871	-7.23573
ADCY7	ADCY7: 	0.289734	2.45645	0.446841	0.439635	2.67161	2.20812
ADD1	ADD1: 	5.97827	4.76774	6.08599	5.95243	4.84037	4.75702
ADGRF2	ADGRF2: 	-2.338	0.107339	-2.39815	-2.53219	-0.338658	0.0531029
ADGRF3	ADGRF3: 	-1.06271	-3.67726	-0.816657	-0.959566	-3.28054	-3.44913
ADGRF5	ADGRF5: 	-2.65399	-4.88454	-2.64397	-2.49665	-4.35885	-4.92083
ADGRG1	ADGRG1: 	4.66455	5.81605	5.11923	4.90917	5.98646	5.91144
ADM2	ADM2: 	-3.62776	0.990901	-2.90404	-3.27351	-0.584281	0.939763
ADNP	ADNP: 	4.49195	3.67289	4.60203	4.32227	3.30957	3.32594
ADNP-AS1	ADNP-AS1: 	0.768868	-1.28793	0.901566	0.964279	-1.41134	-2.21843
ADO	ADO: 	3.26251	1.7792	3.06303	3.15746	1.51639	1.69915
ADPGK	ADPGK: 	4.62616	2.96397	4.30106	4.7055	2.90137	2.73313
ADPRHL1	ADPRHL1: 	0.0585485	-1.51624	0.292774	0.394371	-2.7732	-2.05834
ADSS2	ADSS2: 	4.42871	3.40079	4.34061	4.39583	3.04881	2.94127
ADTRP	ADTRP: 	-1.47078	3.31751	-1.18797	-0.86118	3.23282	3.09733
AEN	AEN: 	5.66305	2.72972	5.36075	5.64093	2.44607	2.49799
AFAP1	AFAP1: 	2.8709	1.00822	2.95698	2.85895	1.20775	1.0957
AFAP1L1	AFAP1L1: 	-1.57868	1.30265	-1.68991	-1.5791	0.748727	0.91801
AFAP1L2	AFAP1L2: 	1.83575	3.56651	2.35425	2.06829	3.96468	3.83635
AFG1L	AFG1L: 	0.105791	-0.817761	0.155335	0.281821	-1.19521	-1.17223
AFTPH	AFTPH: 	5.36898	4.33511	5.31007	5.21227	4.18191	4.32449
AGA	AGA: 	3.98541	2.48204	3.6962	3.89559	2.40261	2.09104
AGAP4	AGAP4: 	1.17762	0.41169	1.43002	1.41011	0.246935	-0.173652
AGAP6	AGAP6: 	-0.0083932	-1.97944	-0.123498	0.11649	-2.01454	-1.30466
AGBL3	AGBL3: 	-1.40809	-4.42333	-1.97125	-1.3187	-4.57066	-4.92619
AGK	AGK: 	3.16138	1.68168	3.02576	3.25342	1.47917	1.40189
AGO2	AGO2: 	2.63642	1.54379	2.87595	2.61532	1.17575	1.46159
AGPAT1	AGPAT1: 	3.62606	2.75345	3.72852	3.71592	2.55661	2.31877
AGPAT2	AGPAT2: 	4.91942	2.48666	5.2135	5.44331	3.09956	2.34003
AGPS	AGPS: 	3.76137	2.20494	3.77497	3.70716	1.67344	1.53722
AGR2	AGR2: 	4.1092	-3.36051	4.17693	4.45413	-1.88235	-2.64786
AHI1	AHI1: 	2.86279	0.759153	3.02547	2.65589	0.279224	0.148232
AHR	AHR: 	4.19246	3.08766	4.09954	3.90182	2.37741	2.60778
AHSA1	AHSA1: 	6.25151	5.33689	6.05207	6.398	5.2428	5.07374
AIF1L	AIF1L: 	-1.58512	3.36349	-1.31378	-1.56756	3.68517	4.25785
AIG1	AIG1: 	0.0356385	1.24155	0.287837	0.106675	1.50256	1.46046
AIMP1	AIMP1: 	4.50094	3.26113	4.09009	4.34805	2.99972	2.87179
AIMP2	AIMP2: 	1.25362	2.5661	1.29079	1.36947	2.6015	2.29157
AJAP1	AJAP1: 	-2.04372	-0.783865	-1.67075	-1.6338	-0.274707	-0.428013
AJUBA	AJUBA: 	3.36198	4.86687	3.63405	3.75404	4.94534	5.11897
AK4	AK4: 	0.236689	2.78406	0.539888	0.517276	2.72905	2.65242
AK6	AK6: 	3.44796	2.35163	3.03684	3.4085	1.98122	1.95542
AK7	AK7: 	-5.71002	-2.10386	-5.12381	-5.14933	-2.27306	-2.68072
AK8	AK8: 	0.694362	-1.01849	0.70038	0.631362	-1.26686	-1.36587
AKAP1	AKAP1: 	3.03747	1.70903	3.0285	3.227	1.27486	1.09336
AKAP17A	AKAP17A: 	3.29685	1.84086	3.57156	3.5065	2.27125	2.19091
AKAP3	AKAP3: 	1.24967	-2.37974	1.45675	1.06359	-2.25089	-2.2279
AKAP8	AKAP8: 	3.48396	2.32163	3.79996	3.62037	2.65976	2.46838
AKAP9	AKAP9: 	4.00291	2.70914	4.08057	3.88249	2.24131	2.40962
AKR1B10	AKR1B10: 	0.0320097	5.1164	0.903198	1.30595	5.68412	5.20362
AKR1C1	AKR1C1: 	-1.54077	3.34335	-1.78181	-1.57616	3.16593	3.90104
AKR1C2	AKR1C2: 	0.203687	5.43063	0.2883	0.219114	5.52477	6.01315
AKR1C3	AKR1C3: 	-1.7079	3.58907	-1.34951	-1.14296	3.74586	4.2353
AKT1	AKT1: 	5.03519	3.98438	4.91994	5.10692	3.91349	3.65391
ALCAM	ALCAM: 	6.55435	3.3408	6.59536	6.3795	3.45503	3.42336
ALDH1L1	ALDH1L1: 	-2.90868	-0.222255	-2.66351	-2.50845	-0.402382	-0.511312
ALDH2	ALDH2: 	-2.96144	1.46239	-1.67797	-1.78966	1.7872	1.39443
ALDH3B2	ALDH3B2: 	2.23218	6.25851	2.29343	2.60375	6.64092	6.43775
ALDH4A1	ALDH4A1: 	1.63451	2.89003	1.65956	1.86275	2.89695	2.72972
ALDH5A1	ALDH5A1: 	-5.48325	1.32182	-5.63401	-6.24448	1.14935	0.561646
ALDH8A1	ALDH8A1: 	-2.60651	-0.226222	-1.86829	-1.96781	-0.68634	-0.310686
ALG1	ALG1: 	2.261	1.10497	2.25365	2.39807	1.15698	0.752223
ALG11	ALG11: 	4.02637	1.99584	3.78121	3.99497	1.70385	1.55256
ALG2	ALG2: 	4.14697	2.9616	3.91979	4.20054	2.86622	2.8399
ALG3	ALG3: 	4.02317	2.81625	3.92841	4.18089	2.97025	2.54425
ALG5	ALG5: 	4.53309	3.5002	4.15919	4.54646	3.40287	3.19326
ALKBH1	ALKBH1: 	3.20355	1.56995	2.938	3.07975	1.50379	1.44375
ALKBH5	ALKBH5: 	4.37205	3.03809	4.27067	4.4751	2.99745	2.78295
ALKBH8	ALKBH8: 	2.66254	0.939907	2.41494	2.53217	0.664025	0.393278
ALOX12	ALOX12: 	-1.78634	-0.633349	-2.35214	-2.04507	-0.475762	-0.354599
ALOX12B	ALOX12B: 	-3.59565	7.11388	-2.78705	-2.20488	7.11463	7.06333
ALOX15B	ALOX15B: 	-1.92177	2.32493	-1.18123	-0.922955	3.64812	3.07893
ALOXE3	ALOXE3: 	-0.684124	4.99866	0.233293	0.392693	4.88918	4.95918
ALPK1	ALPK1: 	1.94713	1.05737	1.79771	1.7602	0.739984	0.621205
ALPK3	ALPK3: 	0.312692	-2.8751	0.378697	0.273925	-1.78036	-3.02746
ALX3	ALX3: 	1.24887	0.0727373	0.898271	0.97869	-0.205177	0.0808393
AMDHD1	AMDHD1: 	-3.00451	0.617256	-2.54383	-2.22142	0.763657	0.38388
AMDHD2	AMDHD2: 	3.41439	1.45024	3.26118	3.59845	1.86292	1.17393
AMFR	AMFR: 	5.23221	4.11265	5.21973	5.17872	4.17252	4.04089
AMIGO1	AMIGO1: 	-2.98662	0.677723	-2.92236	-3.23328	0.371782	0.582134
AMIGO2	AMIGO2: 	-1.35588	1.79582	-1.13532	-0.451887	1.69832	1.1923
AMIGO3	AMIGO3: 	1.68761	-0.696482	1.81711	1.66697	-0.421856	-1.27334
AMMECR1L	AMMECR1L: 	4.19533	2.55012	4.07781	4.1572	2.2484	2.2338
AMN1	AMN1: 	3.7094	1.04378	3.27898	3.74412	0.803563	0.930154
AMPD3	AMPD3: 	2.47887	4.49042	3.09589	2.68018	4.24183	4.89545
AMY2B	AMY2B: 	1.78068	-0.908636	2.06463	1.66681	-1.13976	-1.64831
AMZ1	AMZ1: 	-5.70405	-1.01856	-4.8548	-4.88032	-1.48252	-1.22102
ANAPC10	ANAPC10: 	2.41368	1.37306	2.08423	2.38341	1.11555	0.781321
ANAPC2	ANAPC2: 	4.06692	3.18359	4.27824	4.35992	3.31939	3.03651
ANAPC5	ANAPC5: 	5.61313	4.80519	5.5409	5.60227	4.4988	4.29224
ANGPT2	ANGPT2: 	-3.12882	-6.16525	-3.72305	-3.1022	-6.17422	-7.74211
ANK1	ANK1: 	-0.678371	-2.72866	-0.187579	-0.369217	-4.18411	-4.23152
ANKDD1A	ANKDD1A: 	-0.561349	-1.37921	-0.235007	-0.168599	-1.91396	-2.02424
ANKDD1B	ANKDD1B: 	1.61424	-2.2611	1.90023	1.79086	-1.54899	-1.44801
ANKFN1	ANKFN1: 	-7.68355	-1.34356	-6.09734	-6.53789	-1.86094	-2.66211
ANKFY1	ANKFY1: 	4.01051	2.91671	4.01697	3.88678	2.90092	2.77349
ANKH	ANKH: 	-0.17364	2.07694	-0.0196892	-0.0430186	1.62721	1.6936
ANKIB1	ANKIB1: 	4.16251	3.0877	4.0321	3.96375	2.79636	2.94787
ANKMY1	ANKMY1: 	1.87542	-1.24497	2.07984	1.95233	-1.00034	-1.53625
ANKRA2	ANKRA2: 	4.46098	2.0611	4.16364	4.23744	2.02947	1.6584
ANKRD10	ANKRD10: 	3.92726	1.89239	4.05515	3.91084	0.758136	0.331811
ANKRD11	ANKRD11: 	4.32752	3.3753	4.72002	4.34733	3.25091	3.43172
ANKRD12	ANKRD12: 	3.61073	1.94267	3.72361	3.52877	1.78292	1.64381
ANKRD2	ANKRD2: 	0.829374	-1.83748	1.2787	1.35227	-1.87342	-3.35294
ANKRD20A8P	ANKRD20A8P: 	-6.5626	-26.5754	-7.34841	-5.21816	-26.5753	-26.5754
ANKRD22	ANKRD22: 	2.96357	5.31407	2.46532	2.91756	4.94968	5.18011
ANKRD34A	ANKRD34A: 	-0.963086	-3.44752	-1.30649	-1.13936	-3.51685	-4.60935
ANKRD35	ANKRD35: 	-2.48432	3.96003	-1.69166	-1.81671	3.97371	3.74435
ANKRD36C	ANKRD36C: 	1.72356	-2.40524	1.15764	1.33235	-2.24935	-2.77957
ANKRD40	ANKRD40: 	3.66241	2.14974	3.49874	3.75876	1.78593	1.90081
ANKRD42	ANKRD42: 	2.52391	1.1501	2.30501	2.52921	1.04597	1.17567
ANKRD50	ANKRD50: 	3.39787	2.28087	3.48771	3.17399	2.1977	2.05088
ANKRD52	ANKRD52: 	3.57157	2.62792	3.75657	3.6458	2.696	2.49783
ANKRD9	ANKRD9: 	2.52843	1.34529	2.5938	2.48779	1.02144	1.20177
ANKS6	ANKS6: 	-0.292322	0.793827	-0.0911709	-0.462924	1.08592	0.775483
ANO10	ANO10: 	2.46155	4.12667	2.64967	2.59784	4.05477	3.91996
ANO6	ANO6: 	4.42976	2.81492	4.68234	4.40434	2.90675	2.62392
ANO8	ANO8: 	1.29659	2.66357	1.79431	1.69222	3.00821	2.79436
ANOS1	ANOS1: 	-2.22435	0.452515	-1.79568	-1.79371	0.415847	-0.0432568
ANP32A	ANP32A: 	5.72758	4.49645	5.35048	5.5833	4.26218	4.15404
ANTXR2	ANTXR2: 	3.63162	1.1179	3.28129	3.50882	0.819367	-0.494445
ANXA4	ANXA4: 	6.5297	3.51854	6.43181	6.40996	3.88824	3.48793
ANXA8	ANXA8: 	2.77895	4.24496	3.00571	3.09809	4.96272	4.61443
ANXA8L1	ANXA8L1: 	3.70626	6.37408	4.18151	4.26724	6.85448	6.32881
ANXA9	ANXA9: 	1.67418	6.26628	1.77159	1.70287	6.32378	6.29226
AOC1	AOC1: 	1.79417	-4.18213	2.98681	2.44233	-1.92399	-4.17402
AOC2	AOC2: 	1.86888	-1.69621	2.07487	1.96245	-0.955019	-1.81073
AOC3	AOC3: 	-0.239942	-3.06706	0.233011	-0.0185778	-3.5149	-3.93938
AP1S1	AP1S1: 	6.43247	4.45232	5.99966	6.45925	4.56757	4.349
AP2A2	AP2A2: 	4.36446	3.04684	4.62501	4.48401	3.00795	2.9444
AP2M1	AP2M1: 	7.48385	6.42408	7.52143	7.58148	6.36207	6.21589
AP4S1	AP4S1: 	1.59612	0.323486	1.31672	1.43085	-0.195012	-0.0920304
AP5M1	AP5M1: 	2.08976	0.990981	2.22419	2.04692	0.52615	0.346354
AP5S1	AP5S1: 	1.16861	-0.0646473	1.14739	1.2648	-0.110114	-0.515976
APAF1	APAF1: 	2.7182	0.441166	2.46791	2.29429	0.339099	0.338873
APBA1	APBA1: 	-2.9869	-0.540892	-2.76326	-2.50867	-1.15836	-1.39369
APBB3	APBB3: 	2.56382	1.45377	2.94236	2.68132	1.52302	1.10824
APCDD1	APCDD1: 	-3.66171	0.825049	-3.19098	-2.2779	1.18535	0.442798
APCDD1L-DT	APCDD1L-DT: 	-5.50265	-1.16266	-6.91644	-4.357	-0.552287	-0.324485
APH1B	APH1B: 	4.08335	0.840523	3.85673	3.82751	0.222936	0.0634397
API5	API5: 	5.88221	4.64003	5.56823	5.73385	4.40738	4.41813
APIP	APIP: 	3.7203	1.92163	3.3084	3.50243	1.86214	1.44737
APLP2	APLP2: 	8.63101	6.50489	8.48449	8.55509	6.87802	6.83416
APMAP	APMAP: 	6.78688	4.27985	6.44896	7.08391	3.90435	3.81951
APOB	APOB: 	-7.66982	-1.06366	-5.66858	-6.69409	-2.86513	-1.95463
APOBEC3B-AS1	APOBEC3B-AS1: 	-3.68872	-26.5754	-2.08488	-0.92118	-26.5754	-26.5754
APOBEC3C	APOBEC3C: 	4.26796	3.06069	4.06821	4.1729	2.7056	2.68107
APOBEC3H	APOBEC3H: 	3.50793	-2.64213	3.03674	3.3637	-5.5639	-5.54092
APOBR	APOBR: 	-0.866121	-2.78352	-0.716482	-0.587826	-3.83082	-4.26727
APOE	APOE: 	1.06622	2.53145	1.49163	1.40828	3.01964	2.84342
APOL1	APOL1: 	3.80432	0.815661	3.69818	3.84495	1.16573	0.629008
APOL2	APOL2: 	4.94249	2.30893	4.76768	4.94756	2.47402	2.09131
APOL3	APOL3: 	-0.930664	-2.75833	-0.775555	-0.843503	-3.15464	-3.92015
APOL4	APOL4: 	-4.2069	0.228851	-3.7138	-4.05153	1.31203	0.778623
APOL6	APOL6: 	4.56028	1.02927	4.1872	4.42353	1.01052	0.840115
APOLD1	APOLD1: 	5.6555	-2.37849	5.35653	5.41092	-2.09863	-2.10735
APOM	APOM: 	0.829881	-0.964238	1.32561	1.27434	-2.35592	-2.31014
APOOL	APOOL: 	2.82391	1.87083	2.88879	2.69413	1.59849	1.56131
APP	APP: 	8.93486	7.13717	8.96457	9.04038	7.58196	7.17649
APTR	APTR: 	1.59919	-0.911957	1.61377	1.6448	-1.27118	-0.823769
AQP7	AQP7: 	0.597975	-2.35243	0.853298	0.972557	-4.19845	-3.18287
AQP7P3	AQP7P3: 	-2.05692	-5.84879	-1.34518	-1.95566	-5.44863	-4.42565
AQP9	AQP9: 	-2.04739	5.23158	-0.157987	-0.608001	4.61494	5.16962
AQR	AQR: 	3.61666	2.62863	3.63806	3.44336	2.32068	2.42446
ARAP2	ARAP2: 	4.40198	3.52575	4.40325	4.23148	3.09007	3.41301
AREL1	AREL1: 	4.56108	2.93653	4.35553	4.52226	2.86144	2.76123
ARF1	ARF1: 	7.69584	6.65458	7.58742	7.82027	6.69783	6.72752
ARF3	ARF3: 	6.44433	5.36958	6.38952	6.4213	5.47539	5.29472
ARFGAP1	ARFGAP1: 	4.81038	3.26332	4.9508	4.9773	3.63839	3.33397
ARFGAP3	ARFGAP3: 	4.63826	2.69962	4.60132	4.57921	2.48689	2.42027
ARFGEF2	ARFGEF2: 	3.92392	3.01767	4.02104	3.77496	2.62775	2.7429
ARFGEF3	ARFGEF3: 	1.31467	-2.7659	1.54275	1.46603	-3.19447	-3.65261
ARFIP1	ARFIP1: 	4.77599	3.21939	4.68351	4.604	2.96281	2.97355
ARG2	ARG2: 	1.14684	3.37264	1.46328	1.74455	3.27697	3.11057
ARHGAP11A	ARHGAP11A: 	-1.39299	0.58698	-0.812881	-1.45884	0.675683	0.273972
ARHGAP12	ARHGAP12: 	4.27375	2.02784	4.30242	4.08041	1.76662	1.80959
ARHGAP17	ARHGAP17: 	4.69569	3.38738	4.88734	4.66273	3.45396	3.40677
ARHGAP21	ARHGAP21: 	4.54533	2.85691	4.50489	4.30332	2.81643	2.85431
ARHGAP23	ARHGAP23: 	1.77142	3.72409	2.40077	2.23647	4.11507	4.01933
ARHGAP26	ARHGAP26: 	1.49402	0.457732	1.88527	1.65736	0.0575949	-0.139472
ARHGAP40	ARHGAP40: 	-2.479	2.39122	-1.68843	-2.27194	2.60238	2.61367
ARHGAP42	ARHGAP42: 	1.49571	-0.433906	1.70782	1.44404	-0.862307	-1.09337
ARHGAP5	ARHGAP5: 	5.19567	3.69995	5.29875	4.96239	3.39784	3.59701
ARHGAP5-AS1	ARHGAP5-AS1: 	4.40984	0.863965	4.06655	4.31337	1.20618	0.342814
ARHGEF10L	ARHGEF10L: 	2.09807	4.71331	2.75501	2.1352	4.53358	4.77354
ARHGEF16	ARHGEF16: 	4.04698	1.54961	4.34666	4.31283	2.33811	1.89029
ARHGEF2	ARHGEF2: 	1.55277	2.78845	1.93364	1.57789	2.63714	2.93785
ARHGEF26	ARHGEF26: 	-0.293839	1.19142	0.144582	-0.0175989	0.840651	0.920503
ARHGEF28	ARHGEF28: 	4.16761	2.74052	4.2238	4.08433	2.72463	2.92907
ARHGEF33	ARHGEF33: 	-2.13073	-4.99368	-1.40485	-1.65577	-4.44152	-4.93311
ARHGEF40	ARHGEF40: 	2.32603	0.769433	2.38563	2.28793	0.557512	0.160945
ARHGEF7	ARHGEF7: 	2.77376	1.86375	2.98479	2.73979	1.58347	1.64502
ARID1A	ARID1A: 	4.43473	3.62642	4.67338	4.33501	3.28241	3.3364
ARID3A	ARID3A: 	1.89393	0.0225752	1.97052	1.75833	0.592171	0.626803
ARID3C	ARID3C: 	-2.00761	-5.66197	-1.69894	-1.86196	-5.26182	-5.23884
ARID4A	ARID4A: 	3.33727	2.17671	3.48199	3.23093	1.7075	2.00043
ARIH2	ARIH2: 	3.88637	2.88587	3.73149	3.89189	2.58147	2.6571
ARIH2OS	ARIH2OS: 	-0.177811	-1.98157	-0.676811	-0.354691	-2.34085	-2.42254
ARL10	ARL10: 	-3.41309	0.248831	-3.43456	-3.48316	0.0151164	0.211596
ARL11	ARL11: 	-2.74008	-0.86816	-3.15388	-2.70295	-0.1625	-1.10685
ARL14	ARL14: 	2.68367	-0.884654	2.55755	2.86384	-0.732424	-2.009
ARL14EP	ARL14EP: 	3.60367	2.37421	3.25535	3.4393	2.08296	2.03469
ARL15	ARL15: 	3.86238	2.47374	3.53223	3.30989	2.3879	2.14504
ARL16	ARL16: 	4.78733	2.238	4.69571	4.9221	2.39562	2.29553
ARL4D	ARL4D: 	1.30777	3.46776	1.38184	1.61733	3.68024	3.48945
