ProbeID	GSM4634681	GSM4634685	GSM4634683	GSM4634682	GSM4634686	GSM4634684
ACAD8	8.0	29.0	8.0	9.0	23.0	29.0
ACAT2	6.0	24.0	4.0	6.0	26.0	25.0
ACBD3-AS1	0.0	6.0	0.0	1.0	5.0	7.0
ACBD5	16.0	5.0	14.0	13.0	5.0	4.0
ACBD7	0.0	0.0	0.0	0.0	0.0	0.0
ACD	4.0	2.0	5.0	5.0	2.0	1.0
ACER1	0.0	29.0	0.0	0.0	28.0	24.0
ACER2	18.0	1.0	19.0	18.0	1.0	1.0
ACKR2	6.0	0.0	6.0	5.0	0.0	0.0
ACKR3	0.0	19.0	1.0	2.0	22.0	23.0
ACO2	50.0	25.0	52.0	53.0	21.0	21.0
ACOT11	0.0	4.0	0.0	0.0	6.0	5.0
ACOT4	0.0	0.0	0.0	0.0	0.0	0.0
ACP1	46.0	19.0	36.0	47.0	16.0	17.0
ACP2	23.0	5.0	22.0	24.0	4.0	3.0
ACP3	0.0	8.0	0.0	0.0	6.0	6.0
ACP6	1.0	0.0	1.0	1.0	0.0	0.0
ACP7	2.0	103.0	4.0	4.0	76.0	127.0
ACSBG1	0.0	2.0	0.0	0.0	1.0	0.0
ACSF3	2.0	1.0	3.0	3.0	1.0	1.0
ACSL3	57.0	20.0	55.0	61.0	14.0	16.0
ACSS2	2.0	8.0	2.0	2.0	8.0	7.0
ACTA2	23.0	1.0	26.0	22.0	0.0	0.0
ACTB	603.0	1125.0	624.0	687.0	1356.0	1600.0
ACTG1	582.0	1234.0	606.0	660.0	1167.0	1593.0
ACTG1P20	4.0	10.0	4.0	4.0	7.0	9.0
ACTL6A	21.0	11.0	18.0	20.0	9.0	8.0
ACTR3C	0.0	0.0	0.0	0.0	0.0	0.0
ACTRT3	1.0	0.0	1.0	1.0	0.0	0.0
ACVR1	15.0	5.0	14.0	14.0	5.0	4.0
ACVR2A	7.0	2.0	7.0	6.0	1.0	2.0
ACVR2B-AS1	0.0	0.0	0.0	0.0	0.0	0.0
ACYP1	5.0	2.0	4.0	4.0	1.0	1.0
ACYP2	2.0	1.0	2.0	2.0	0.0	1.0
ADAL	1.0	0.0	1.0	1.0	0.0	0.0
ADAM10	36.0	10.0	34.0	34.0	10.0	11.0
ADAM15	390.0	32.0	375.0	438.0	44.0	40.0
ADAM19	2.0	0.0	1.0	2.0	0.0	0.0
ADAM20P1	0.0	0.0	0.0	0.0	0.0	0.0
ADAM21	0.0	0.0	0.0	0.0	0.0	0.0
ADAM9	229.0	43.0	239.0	206.0	48.0	48.0
ADAMTS13	0.0	0.0	1.0	0.0	0.0	0.0
ADAMTS4	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTSL4	5.0	17.0	6.0	4.0	33.0	32.0
ADAMTSL5	0.0	1.0	0.0	0.0	4.0	2.0
ADAP2	0.0	9.0	0.0	0.0	9.0	10.0
ADAR	69.0	20.0	61.0	60.0	21.0	17.0
ADARB1	0.0	2.0	0.0	0.0	2.0	2.0
ADAT1	6.0	2.0	5.0	6.0	2.0	1.0
ADCY3	0.0	3.0	0.0	0.0	3.0	3.0
ADCY4	0.0	0.0	0.0	0.0	0.0	0.0
ADCY7	1.0	5.0	1.0	1.0	6.0	4.0
ADD1	63.0	27.0	67.0	61.0	28.0	27.0
ADGRF2	0.0	1.0	0.0	0.0	0.0	1.0
ADGRF3	0.0	0.0	0.0	0.0	0.0	0.0
ADGRF5	0.0	0.0	0.0	0.0	0.0	0.0
ADGRG1	25.0	56.0	34.0	30.0	63.0	60.0
ADM2	0.0	1.0	0.0	0.0	0.0	1.0
ADNP	22.0	12.0	24.0	20.0	9.0	10.0
ADNP-AS1	1.0	0.0	1.0	1.0	0.0	0.0
ADO	9.0	3.0	8.0	8.0	2.0	3.0
ADPGK	24.0	7.0	19.0	26.0	7.0	6.0
ADPRHL1	1.0	0.0	1.0	1.0	0.0	0.0
ADSS2	21.0	10.0	20.0	21.0	8.0	7.0
ADTRP	0.0	9.0	0.0	0.0	9.0	8.0
AEN	50.0	6.0	41.0	49.0	5.0	5.0
AFAP1	7.0	2.0	7.0	7.0	2.0	2.0
AFAP1L1	0.0	2.0	0.0	0.0	1.0	1.0
AFAP1L2	3.0	11.0	5.0	4.0	15.0	14.0
AFG1L	1.0	0.0	1.0	1.0	0.0	0.0
AFTPH	41.0	20.0	39.0	37.0	18.0	20.0
AGA	15.0	5.0	12.0	14.0	5.0	4.0
AGAP4	2.0	1.0	2.0	2.0	1.0	0.0
AGAP6	0.0	0.0	0.0	1.0	0.0	0.0
AGBL3	0.0	0.0	0.0	0.0	0.0	0.0
AGK	8.0	3.0	8.0	9.0	2.0	2.0
AGO2	6.0	2.0	7.0	6.0	2.0	2.0
AGPAT1	12.0	6.0	13.0	13.0	5.0	4.0
AGPAT2	30.0	5.0	37.0	43.0	8.0	5.0
AGPS	13.0	4.0	13.0	13.0	3.0	2.0
AGR2	17.0	0.0	18.0	21.0	0.0	0.0
AHI1	7.0	1.0	8.0	6.0	1.0	1.0
AHR	18.0	8.0	17.0	14.0	5.0	6.0
AHSA1	76.0	40.0	66.0	84.0	37.0	33.0
AIF1L	0.0	10.0	0.0	0.0	12.0	19.0
AIG1	1.0	2.0	1.0	1.0	2.0	2.0
AIMP1	22.0	9.0	17.0	20.0	7.0	7.0
AIMP2	2.0	5.0	2.0	2.0	6.0	4.0
AJAP1	0.0	0.0	0.0	0.0	0.0	0.0
AJUBA	10.0	29.0	12.0	13.0	30.0	34.0
AK4	1.0	6.0	1.0	1.0	6.0	6.0
AK6	10.0	5.0	8.0	10.0	3.0	3.0
AK7	0.0	0.0	0.0	0.0	0.0	0.0
AK8	1.0	0.0	1.0	1.0	0.0	0.0
AKAP1	8.0	3.0	8.0	9.0	2.0	2.0
AKAP17A	9.0	3.0	11.0	11.0	4.0	4.0
AKAP3	2.0	0.0	2.0	2.0	0.0	0.0
AKAP8	11.0	4.0	13.0	12.0	6.0	5.0
AKAP9	16.0	6.0	16.0	14.0	4.0	5.0
AKR1B10	1.0	34.0	1.0	2.0	51.0	36.0
AKR1C1	0.0	10.0	0.0	0.0	8.0	14.0
AKR1C2	1.0	43.0	1.0	1.0	46.0	64.0
AKR1C3	0.0	12.0	0.0	0.0	13.0	18.0
AKT1	32.0	15.0	30.0	34.0	15.0	12.0
ALCAM	93.0	10.0	96.0	83.0	10.0	10.0
ALDH1L1	0.0	0.0	0.0	0.0	0.0	0.0
ALDH2	0.0	2.0	0.0	0.0	3.0	2.0
ALDH3B2	4.0	76.0	4.0	6.0	99.0	86.0
ALDH4A1	3.0	7.0	3.0	3.0	7.0	6.0
ALDH5A1	0.0	2.0	0.0	0.0	2.0	1.0
ALDH8A1	0.0	0.0	0.0	0.0	0.0	0.0
ALG1	4.0	2.0	4.0	5.0	2.0	1.0
ALG11	16.0	3.0	13.0	15.0	3.0	2.0
ALG2	17.0	7.0	15.0	18.0	7.0	7.0
ALG3	16.0	7.0	15.0	18.0	7.0	5.0
ALG5	23.0	11.0	17.0	23.0	10.0	9.0
ALKBH1	9.0	2.0	7.0	8.0	2.0	2.0
ALKBH5	20.0	8.0	19.0	22.0	7.0	6.0
ALKBH8	6.0	1.0	5.0	5.0	1.0	1.0
ALOX12	0.0	0.0	0.0	0.0	0.0	0.0
ALOX12B	0.0	138.0	0.0	0.0	138.0	133.0
ALOX15B	0.0	5.0	0.0	0.0	12.0	8.0
ALOXE3	0.0	31.0	1.0	1.0	29.0	31.0
ALPK1	3.0	2.0	3.0	3.0	1.0	1.0
ALPK3	1.0	0.0	1.0	1.0	0.0	0.0
ALX3	2.0	1.0	1.0	1.0	0.0	1.0
AMDHD1	0.0	1.0	0.0	0.0	1.0	1.0
AMDHD2	10.0	2.0	9.0	12.0	3.0	2.0
AMFR	37.0	17.0	37.0	36.0	18.0	16.0
AMIGO1	0.0	1.0	0.0	0.0	1.0	1.0
AMIGO2	0.0	3.0	0.0	0.0	3.0	2.0
AMIGO3	3.0	0.0	3.0	3.0	0.0	0.0
AMMECR1L	18.0	5.0	16.0	17.0	4.0	4.0
AMN1	13.0	2.0	9.0	13.0	1.0	1.0
AMPD3	5.0	22.0	8.0	6.0	18.0	29.0
AMY2B	3.0	0.0	4.0	3.0	0.0	0.0
AMZ1	0.0	0.0	0.0	0.0	0.0	0.0
ANAPC10	5.0	2.0	4.0	5.0	2.0	1.0
ANAPC2	16.0	9.0	19.0	20.0	9.0	8.0
ANAPC5	48.0	27.0	46.0	48.0	22.0	19.0
ANGPT2	0.0	0.0	0.0	0.0	0.0	0.0
ANK1	0.0	0.0	0.0	0.0	0.0	0.0
ANKDD1A	0.0	0.0	0.0	0.0	0.0	0.0
ANKDD1B	3.0	0.0	3.0	3.0	0.0	0.0
ANKFN1	0.0	0.0	0.0	0.0	0.0	0.0
ANKFY1	16.0	7.0	16.0	14.0	7.0	6.0
ANKH	0.0	4.0	0.0	0.0	3.0	3.0
ANKIB1	17.0	8.0	16.0	15.0	6.0	7.0
ANKMY1	3.0	0.0	4.0	3.0	0.0	0.0
ANKRA2	22.0	4.0	17.0	18.0	4.0	3.0
ANKRD10	15.0	3.0	16.0	15.0	1.0	1.0
ANKRD11	20.0	10.0	26.0	20.0	9.0	10.0
ANKRD12	12.0	3.0	13.0	11.0	3.0	3.0
ANKRD2	1.0	0.0	2.0	2.0	0.0	0.0
ANKRD20A8P	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD22	7.0	39.0	5.0	7.0	30.0	36.0
ANKRD34A	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD35	0.0	15.0	0.0	0.0	15.0	13.0
ANKRD36C	3.0	0.0	2.0	2.0	0.0	0.0
ANKRD40	12.0	4.0	11.0	13.0	3.0	3.0
ANKRD42	5.0	2.0	4.0	5.0	2.0	2.0
ANKRD50	10.0	4.0	11.0	9.0	4.0	4.0
ANKRD52	11.0	6.0	13.0	12.0	6.0	5.0
ANKRD9	5.0	2.0	6.0	5.0	2.0	2.0
ANKS6	0.0	1.0	0.0	0.0	2.0	1.0
ANO10	5.0	17.0	6.0	6.0	16.0	15.0
ANO6	21.0	7.0	25.0	21.0	7.0	6.0
ANO8	2.0	6.0	3.0	3.0	8.0	6.0
ANOS1	0.0	1.0	0.0	0.0	1.0	0.0
ANP32A	52.0	22.0	40.0	47.0	19.0	17.0
ANTXR2	12.0	2.0	9.0	11.0	1.0	0.0
ANXA4	92.0	11.0	86.0	85.0	14.0	11.0
ANXA8	6.0	18.0	8.0	8.0	31.0	24.0
ANXA8L1	13.0	82.0	18.0	19.0	115.0	80.0
ANXA9	3.0	76.0	3.0	3.0	80.0	78.0
AOC1	3.0	0.0	7.0	5.0	0.0	0.0
AOC2	3.0	0.0	4.0	3.0	0.0	0.0
AOC3	0.0	0.0	1.0	0.0	0.0	0.0
AP1S1	86.0	21.0	63.0	87.0	23.0	20.0
AP2A2	20.0	8.0	24.0	22.0	8.0	7.0
AP2M1	179.0	85.0	183.0	191.0	82.0	74.0
AP4S1	3.0	1.0	2.0	2.0	0.0	0.0
AP5M1	4.0	1.0	4.0	4.0	1.0	1.0
AP5S1	2.0	0.0	2.0	2.0	0.0	0.0
APAF1	6.0	1.0	5.0	4.0	1.0	1.0
APBA1	0.0	0.0	0.0	0.0	0.0	0.0
APBB3	5.0	2.0	7.0	6.0	2.0	2.0
APCDD1	0.0	1.0	0.0	0.0	2.0	1.0
APCDD1L-DT	0.0	0.0	0.0	0.0	0.0	0.0
APH1B	16.0	1.0	14.0	14.0	1.0	1.0
API5	58.0	24.0	47.0	53.0	21.0	21.0
APIP	13.0	3.0	9.0	11.0	3.0	2.0
APLP2	396.0	90.0	358.0	376.0	117.0	114.0
APMAP	110.0	19.0	87.0	135.0	14.0	14.0
APOB	0.0	0.0	0.0	0.0	0.0	0.0
APOBEC3B-AS1	0.0	0.0	0.0	0.0	0.0	0.0
APOBEC3C	19.0	8.0	16.0	18.0	6.0	6.0
APOBEC3H	11.0	0.0	8.0	10.0	0.0	0.0
APOBR	0.0	0.0	0.0	0.0	0.0	0.0
APOE	2.0	5.0	2.0	2.0	8.0	7.0
APOL1	13.0	1.0	12.0	14.0	2.0	1.0
APOL2	30.0	4.0	27.0	30.0	5.0	4.0
APOL3	0.0	0.0	0.0	0.0	0.0	0.0
APOL4	0.0	1.0	0.0	0.0	2.0	1.0
APOL6	23.0	2.0	18.0	21.0	2.0	1.0
APOLD1	50.0	0.0	40.0	42.0	0.0	0.0
APOM	1.0	0.0	2.0	2.0	0.0	0.0
APOOL	7.0	3.0	7.0	6.0	3.0	2.0
APP	489.0	140.0	499.0	526.0	191.0	144.0
APTR	3.0	0.0	3.0	3.0	0.0	0.0
AQP7	1.0	0.0	1.0	1.0	0.0	0.0
AQP7P3	0.0	0.0	0.0	0.0	0.0	0.0
AQP9	0.0	37.0	0.0	0.0	24.0	35.0
AQR	12.0	6.0	12.0	10.0	4.0	5.0
ARAP2	21.0	11.0	21.0	18.0	8.0	10.0
AREL1	23.0	7.0	20.0	22.0	7.0	6.0
ARF1	207.0	100.0	192.0	226.0	103.0	105.0
ARF3	87.0	41.0	83.0	85.0	44.0	39.0
ARFGAP1	28.0	9.0	30.0	31.0	12.0	10.0
ARFGAP3	24.0	6.0	24.0	23.0	5.0	5.0
ARFGEF2	15.0	8.0	16.0	13.0	6.0	6.0
ARFGEF3	2.0	0.0	2.0	2.0	0.0	0.0
ARFIP1	27.0	9.0	25.0	24.0	7.0	7.0
ARG2	2.0	10.0	2.0	3.0	9.0	8.0
ARHGAP11A	0.0	1.0	0.0	0.0	1.0	1.0
ARHGAP12	19.0	4.0	19.0	16.0	3.0	3.0
ARHGAP17	25.0	10.0	29.0	25.0	10.0	10.0
ARHGAP21	23.0	7.0	22.0	19.0	7.0	7.0
ARHGAP23	3.0	13.0	5.0	4.0	17.0	16.0
ARHGAP26	2.0	1.0	3.0	3.0	1.0	0.0
ARHGAP40	0.0	5.0	0.0	0.0	6.0	6.0
ARHGAP42	2.0	0.0	3.0	2.0	0.0	0.0
ARHGAP5	36.0	12.0	39.0	31.0	10.0	12.0
ARHGAP5-AS1	21.0	1.0	16.0	19.0	2.0	1.0
ARHGEF10L	4.0	26.0	6.0	4.0	23.0	27.0
ARHGEF16	16.0	2.0	20.0	19.0	5.0	3.0
ARHGEF2	2.0	6.0	3.0	2.0	6.0	7.0
ARHGEF26	0.0	2.0	1.0	0.0	1.0	1.0
ARHGEF28	17.0	6.0	18.0	16.0	6.0	7.0
ARHGEF33	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF40	5.0	1.0	5.0	4.0	1.0	1.0
ARHGEF7	6.0	3.0	7.0	6.0	2.0	3.0
ARID1A	21.0	12.0	25.0	20.0	9.0	10.0
ARID3A	3.0	1.0	3.0	3.0	1.0	1.0
ARID3C	0.0	0.0	0.0	0.0	0.0	0.0
ARID4A	10.0	4.0	11.0	9.0	3.0	4.0
ARIH2	14.0	7.0	13.0	14.0	5.0	6.0
ARIH2OS	0.0	0.0	0.0	0.0	0.0	0.0
ARL10	0.0	1.0	0.0	0.0	1.0	1.0
ARL11	0.0	0.0	0.0	0.0	0.0	0.0
ARL14	6.0	0.0	5.0	7.0	0.0	0.0
ARL14EP	12.0	5.0	9.0	10.0	4.0	4.0
ARL15	14.0	5.0	11.0	9.0	5.0	4.0
ARL16	27.0	4.0	25.0	30.0	5.0	4.0
ARL4D	2.0	11.0	2.0	3.0	12.0	11.0
ARL5A	6.0	49.0	5.0	5.0	35.0	35.0
ARL6IP1	222.0	30.0	176.0	211.0	28.0	29.0
ARL6IP4	43.0	19.0	39.0	50.0	20.0	20.0
ARL6IP5	125.0	28.0	102.0	118.0	16.0	11.0
ARL8A	31.0	11.0	25.0	31.0	8.0	9.0
ARMC2	0.0	0.0	0.0	0.0	0.0	0.0
ARMCX2	0.0	3.0	0.0	0.0	1.0	2.0
ARMCX5	6.0	3.0	6.0	5.0	2.0	2.0
ARMCX6	3.0	7.0	2.0	3.0	5.0	5.0
ARMH1	1.0	0.0	1.0	1.0	0.0	0.0
ARMT1	37.0	7.0	32.0	31.0	7.0	6.0
ARNTL	8.0	3.0	7.0	8.0	2.0	2.0
ARNTL2	15.0	26.0	12.0	12.0	27.0	32.0
ARPC4-TTLL3	1.0	0.0	1.0	1.0	0.0	0.0
ARPP19	36.0	16.0	30.0	32.0	13.0	13.0
ARRB1	0.0	10.0	0.0	0.0	8.0	7.0
ARRB2	17.0	6.0	15.0	18.0	4.0	4.0
ARRDC1-AS1	5.0	1.0	5.0	7.0	1.0	1.0
ARRDC3-AS1	1.0	0.0	0.0	1.0	0.0	0.0
ARRDC4	70.0	27.0	68.0	66.0	28.0	30.0
ARSA	13.0	3.0	12.0	13.0	5.0	4.0
ARSB	5.0	0.0	5.0	5.0	0.0	0.0
ARSI	1.0	8.0	2.0	2.0	7.0	8.0
ARTN	1.0	6.0	1.0	1.0	9.0	9.0
ARVCF	5.0	1.0	6.0	6.0	1.0	1.0
ASAH1	129.0	42.0	125.0	134.0	29.0	22.0
ASAP2	35.0	9.0	40.0	32.0	10.0	13.0
ASAP3	0.0	6.0	0.0	0.0	6.0	4.0
ASB1	5.0	2.0	5.0	5.0	2.0	1.0
ASB16	1.0	0.0	1.0	1.0	0.0	0.0
ASB16-AS1	6.0	0.0	5.0	7.0	0.0	0.0
ASB3	9.0	2.0	8.0	8.0	3.0	3.0
ASB6	16.0	5.0	17.0	18.0	6.0	5.0
ASB7	11.0	3.0	11.0	10.0	3.0	3.0
ASB9	0.0	0.0	0.0	0.0	0.0	0.0
ASCC1	10.0	3.0	9.0	10.0	3.0	3.0
ASF1A	13.0	6.0	11.0	12.0	4.0	4.0
ASH1L	14.0	7.0	15.0	13.0	5.0	6.0
ASH1L-AS1	0.0	0.0	0.0	1.0	0.0	0.0
ASIC1	0.0	0.0	0.0	0.0	0.0	0.0
ASIC3	4.0	0.0	6.0	5.0	0.0	0.0
ASL	2.0	7.0	2.0	2.0	9.0	8.0
ASPHD1	0.0	0.0	0.0	0.0	0.0	0.0
ASPM	0.0	0.0	0.0	0.0	0.0	0.0
ASPRV1	6.0	811.0	10.0	7.0	377.0	494.0
ASS1	5.0	45.0	6.0	6.0	74.0	141.0
ASXL1	7.0	3.0	8.0	7.0	2.0	2.0
ATAD1	25.0	8.0	20.0	21.0	6.0	6.0
ATAD3C	1.0	0.0	2.0	1.0	0.0	0.0
ATE1-AS1	1.0	0.0	2.0	1.0	0.0	0.0
ATF1	13.0	5.0	12.0	11.0	4.0	4.0
ATF3	106.0	5.0	73.0	99.0	3.0	6.0
ATF4	54.0	142.0	61.0	62.0	104.0	140.0
ATF6	38.0	10.0	33.0	38.0	9.0	10.0
ATF7IP2	1.0	0.0	2.0	1.0	0.0	0.0
ATG12	15.0	5.0	13.0	13.0	4.0	4.0
ATG13	27.0	13.0	28.0	28.0	11.0	12.0
ATG14	17.0	4.0	18.0	15.0	4.0	4.0
ATG16L1	26.0	6.0	25.0	27.0	7.0	5.0
ATG16L2	2.0	5.0	2.0	2.0	7.0	5.0
ATG4A	21.0	9.0	20.0	20.0	9.0	10.0
ATG5	16.0	5.0	13.0	14.0	5.0	4.0
ATG7	12.0	4.0	12.0	11.0	3.0	4.0
ATG9A	35.0	13.0	39.0	36.0	14.0	13.0
ATL1	0.0	5.0	1.0	1.0	4.0	4.0
ATN1	24.0	11.0	29.0	25.0	13.0	12.0
ATP10B	0.0	9.0	0.0	0.0	8.0	8.0
ATP10D	5.0	15.0	6.0	6.0	16.0	14.0
ATP11A	18.0	6.0	24.0	18.0	4.0	5.0
ATP12A	6.0	177.0	17.0	14.0	116.0	205.0
ATP13A3	31.0	8.0	33.0	28.0	7.0	7.0
ATP13A4	0.0	4.0	0.0	0.0	4.0	3.0
ATP1A1	191.0	68.0	238.0	211.0	75.0	63.0
ATP1A1-AS1	0.0	0.0	0.0	1.0	0.0	0.0
ATP2B4	5.0	38.0	5.0	5.0	34.0	44.0
ATP2C2	0.0	11.0	0.0	0.0	10.0	12.0
ATP5MC2	9.0	23.0	9.0	10.0	20.0	19.0
ATP5MF-PTCD1	2.0	1.0	2.0	2.0	0.0	1.0
ATP5MG	102.0	47.0	72.0	101.0	44.0	43.0
ATP6AP1	141.0	46.0	131.0	148.0	43.0	42.0
ATP6AP1L	2.0	0.0	2.0	2.0	0.0	0.0
ATP6AP2	130.0	48.0	107.0	128.0	44.0	43.0
ATP6V0A1	8.0	28.0	11.0	9.0	22.0	23.0
ATP6V0B	124.0	31.0	106.0	149.0	37.0	40.0
ATP6V1C1	22.0	9.0	21.0	21.0	7.0	7.0
ATP6V1C2	0.0	91.0	0.0	0.0	83.0	89.0
ATP6V1FNB	0.0	0.0	0.0	0.0	0.0	0.0
ATP6V1G1	195.0	66.0	134.0	169.0	57.0	62.0
ATP6V1H	66.0	34.0	69.0	68.0	27.0	34.0
ATP7B	0.0	0.0	0.0	0.0	0.0	0.0
ATP8B3	0.0	0.0	0.0	0.0	0.0	0.0
ATP9A	12.0	4.0	13.0	11.0	4.0	4.0
ATPAF1	22.0	6.0	19.0	22.0	6.0	6.0
ATPAF2	14.0	5.0	14.0	15.0	6.0	7.0
ATPSCKMT	3.0	1.0	3.0	3.0	1.0	1.0
ATR	5.0	2.0	5.0	5.0	1.0	1.0
ATRAID	80.0	18.0	61.0	82.0	17.0	16.0
ATXN1	6.0	2.0	7.0	5.0	2.0	2.0
ATXN1-AS1	6.0	0.0	5.0	5.0	0.0	0.0
ATXN1L	22.0	8.0	20.0	20.0	7.0	7.0
ATXN2	11.0	5.0	14.0	9.0	5.0	5.0
ATXN7	6.0	3.0	7.0	5.0	2.0	2.0
ATXN7L3	53.0	20.0	50.0	51.0	19.0	19.0
AUH	7.0	2.0	6.0	7.0	2.0	2.0
AURKB	0.0	1.0	0.0	0.0	2.0	1.0
AURKC	1.0	0.0	1.0	2.0	0.0	0.0
AUTS2	0.0	2.0	0.0	0.0	1.0	1.0
AVIL	0.0	0.0	1.0	1.0	0.0	0.0
AVL9	9.0	4.0	9.0	9.0	3.0	4.0
AZGP1	11.0	607.0	48.0	15.0	337.0	478.0
B2M	3269.0	180.0	1142.0	2348.0	127.0	108.0
B3GALT4	22.0	3.0	21.0	25.0	3.0	3.0
B3GALT6	5.0	2.0	6.0	6.0	1.0	1.0
B3GAT3	30.0	4.0	27.0	39.0	3.0	3.0
B3GNT10	1.0	0.0	1.0	1.0	0.0	0.0
B3GNT2	33.0	11.0	36.0	34.0	11.0	10.0
B3GNT4	0.0	0.0	0.0	0.0	1.0	1.0
B3GNT8	1.0	5.0	2.0	1.0	9.0	11.0
B4GALT1	89.0	32.0	91.0	82.0	36.0	36.0
B4GALT1-AS1	5.0	0.0	6.0	6.0	0.0	0.0
B4GALT2	3.0	10.0	3.0	3.0	10.0	9.0
B4GALT4	51.0	9.0	41.0	49.0	8.0	10.0
B4GALT5	21.0	8.0	18.0	18.0	8.0	7.0
BAALC-AS1	0.0	0.0	0.0	0.0	0.0	0.0
BABAM1	53.0	18.0	54.0	60.0	22.0	18.0
BACE1	1.0	3.0	1.0	1.0	2.0	2.0
BACE2	27.0	2.0	22.0	25.0	3.0	2.0
BACH2	2.0	0.0	1.0	1.0	0.0	0.0
BAG1	54.0	18.0	51.0	57.0	15.0	15.0
BAG4	8.0	2.0	8.0	7.0	2.0	2.0
BAHD1	11.0	6.0	12.0	11.0	5.0	5.0
BAIAP2L1	49.0	11.0	51.0	44.0	13.0	13.0
BAK1	9.0	22.0	9.0	11.0	22.0	26.0
BAMBI	23.0	4.0	21.0	31.0	3.0	2.0
BANF1	34.0	19.0	31.0	34.0	16.0	12.0
BARD1	1.0	0.0	1.0	1.0	0.0	0.0
BAX	42.0	22.0	35.0	47.0	19.0	19.0
BAZ1A	27.0	11.0	27.0	23.0	12.0	12.0
BAZ1B	20.0	9.0	18.0	18.0	7.0	7.0
BAZ2B	14.0	5.0	13.0	11.0	3.0	4.0
BBC3	16.0	2.0	15.0	17.0	1.0	1.0
BBOX1	0.0	12.0	0.0	0.0	11.0	7.0
BBS1	14.0	3.0	14.0	15.0	3.0	3.0
BBS10	7.0	3.0	7.0	7.0	2.0	2.0
BBS12	4.0	0.0	3.0	3.0	0.0	0.0
BBS4	9.0	3.0	7.0	9.0	1.0	1.0
BBS7	1.0	3.0	1.0	1.0	3.0	3.0
BBX	9.0	4.0	9.0	7.0	3.0	3.0
BCAM	4.0	34.0	7.0	6.0	49.0	49.0
BCAP29	10.0	4.0	9.0	9.0	3.0	3.0
BCAP31	175.0	49.0	172.0	190.0	60.0	46.0
BCAR3	14.0	3.0	15.0	15.0	4.0	5.0
BCAS2	61.0	19.0	51.0	58.0	16.0	16.0
BCAS3	8.0	3.0	9.0	7.0	3.0	2.0
BCCIP	22.0	8.0	17.0	22.0	8.0	7.0
BCDIN3D	3.0	1.0	3.0	3.0	1.0	1.0
BCL10	18.0	6.0	16.0	15.0	7.0	8.0
