AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
HSFX1	HSFX1	-2.42	-2.42	-0.00	0.00	-3.39	0.00	0.94	3	2	1	3
PEG13	PEG13	-3.97	-3.97	-0.00	0.00	-5.93	0.00	1.63	3	3	0	3
KRT6C	KRT6C	7.45	7.45	-0.00	0.00	3.31	11.65	3.84	3	3	0	3
NID1	NID1	1.16	1.16	-0.00	0.00	-0.90	3.10	1.61	3	3	0	3
PTPRU	PTPRU	3.03	3.03	0.00	0.00	1.75	3.99	0.90	3	3	0	3
WRAP53	WRAP53	1.24	1.24	-0.00	0.00	0.21	1.97	0.70	3	3	1	2
NOM1	NOM1	1.33	1.33	0.00	0.00	0.70	1.87	0.51	3	2	2	2
PASK	PASK	0.56	0.56	-0.00	0.00	-0.42	1.47	0.79	3	3	0	3
SPATA18	SPATA18	2.52	2.52	0.00	0.00	0.55	4.51	1.91	3	3	0	3
RPL23AP82	RPL23AP82	1.43	1.43	0.00	0.00	0.31	2.54	0.93	3	3	0	3
APOOL	APOOL	2.24	2.24	-0.00	0.00	1.56	2.89	0.57	3	2	2	2
LGALS9	LGALS9	2.41	2.41	0.00	0.00	1.32	3.50	0.95	3	3	0	3
KPNA4	KPNA4	3.93	3.93	-0.00	0.00	3.33	4.49	0.51	3	2	2	2
LRRC58	LRRC58	2.51	2.51	-0.00	0.00	1.71	3.27	0.66	3	3	1	2
RPS4X	RPS4X	7.28	7.28	-0.00	0.00	6.60	8.07	0.60	3	2	2	2
HLA-E	HLA-E	7.46	7.46	0.00	0.00	6.30	8.80	1.13	3	3	0	3
HYOU1	HYOU1	4.26	4.26	-0.00	0.00	3.32	5.06	0.71	3	3	1	2
USP33	USP33	3.95	3.95	-0.00	0.00	2.96	4.82	0.81	3	3	0	3
ADAMTSL5	ADAMTSL5	-0.00	-0.00	-0.00	0.00	-1.91	2.02	1.49	3	3	0	3
ACO2	ACO2	5.10	5.10	-0.00	0.00	4.42	5.75	0.60	3	3	1	2
KDM8	KDM8	-0.80	-0.80	0.00	0.00	-1.65	0.07	0.72	3	2	1	3
UBN2	UBN2	1.62	1.62	0.00	0.00	0.76	2.40	0.70	3	2	2	2
PNPLA4	PNPLA4	1.48	1.48	0.00	0.00	0.72	2.20	0.63	3	3	0	3
LOC101929331	LOC101929331	0.27	0.27	0.00	0.00	-2.74	2.89	2.45	3	3	0	3
NCOR1	NCOR1	3.63	3.63	0.00	0.00	2.89	4.23	0.56	3	2	2	2
MED19	MED19	3.33	3.33	-0.00	0.00	2.51	4.23	0.75	3	3	0	3
PGAP3	PGAP3	2.99	2.99	0.00	0.00	2.13	3.77	0.75	3	3	0	3
MRPL49	MRPL49	4.93	4.93	0.00	0.00	4.25	5.69	0.64	3	2	1	3
TMEM50B	TMEM50B	2.62	2.62	0.00	0.00	1.57	3.50	0.78	3	3	1	2
C17orf100	C17orf100	0.58	0.58	-0.00	0.00	-0.42	1.72	0.87	3	3	0	3
ZDHHC20	ZDHHC20	4.57	4.57	0.00	0.00	3.60	5.52	0.86	3	3	0	3
LSM1	LSM1	4.55	4.55	0.00	0.00	3.76	5.40	0.73	3	2	1	3
IRAIN	IRAIN	-3.45	-3.45	-0.00	0.00	-6.75	0.00	2.60	3	3	0	3
DLST	DLST	4.57	4.57	0.00	0.00	3.80	5.41	0.75	3	3	0	3
MGST1	MGST1	4.93	4.93	0.00	0.00	2.85	6.71	1.72	3	3	0	3
RASGRP1	RASGRP1	-1.86	-1.86	0.00	0.00	-4.60	0.99	2.33	3	3	0	3
AGPAT1	AGPAT1	3.12	3.12	0.00	0.00	2.32	3.73	0.59	3	3	1	2
GPX8	GPX8	-0.90	-0.90	0.00	0.00	-2.84	0.92	1.78	3	3	0	3
DUOX1	DUOX1	4.96	4.96	-0.00	0.00	4.11	5.87	0.76	3	3	0	3
BMPER	BMPER	-3.44	-3.44	0.00	0.00	-5.77	0.00	1.91	3	3	0	3
LYPD5	LYPD5	3.29	3.29	0.00	0.00	-0.07	6.66	3.11	3	3	0	3
DHCR24	DHCR24	5.88	5.88	0.00	0.00	4.04	7.77	1.73	3	3	0	3
TTC7B	TTC7B	-2.03	-2.03	-0.00	0.00	-3.74	0.00	1.49	3	3	0	3
SMG8	SMG8	3.39	3.39	0.00	0.00	2.65	4.06	0.64	3	3	0	3
TM9SF1	TM9SF1	4.54	4.54	0.00	0.00	3.70	5.36	0.79	3	3	0	3
SC5D	SC5D	4.98	4.98	0.00	0.00	4.25	5.66	0.62	3	3	0	3
SERPINB1	SERPINB1	5.66	5.66	0.00	0.00	4.81	6.53	0.74	3	3	0	3
S100A2	S100A2	7.84	7.84	-0.00	0.00	5.69	9.87	1.70	3	3	0	3
TVP23C-CDRT4	TVP23C-CDRT4	1.88	1.88	0.00	0.00	0.67	2.92	1.00	3	3	0	3
STT3A	STT3A	4.55	4.55	0.00	0.00	3.44	5.49	0.88	3	3	0	3
NTN4	NTN4	4.38	4.38	0.00	0.00	2.25	6.54	2.03	3	3	0	3
TMEM170A	TMEM170A	1.59	1.59	0.00	0.00	0.76	2.36	0.62	3	2	2	2
OLMALINC	OLMALINC	0.78	0.78	0.00	0.00	-0.26	1.70	0.77	3	3	1	2
SPTLC3	SPTLC3	2.97	2.97	0.00	0.00	1.01	4.80	1.75	3	3	0	3
FBXO6	FBXO6	1.28	1.28	-0.00	0.00	-0.14	2.50	1.12	3	3	0	3
MTRF1L	MTRF1L	3.30	3.30	0.00	0.00	2.41	4.16	0.78	3	3	0	3
CNNM3	CNNM3	1.41	1.41	0.00	0.00	0.17	2.31	0.92	3	3	1	2
AARS1	AARS1	3.88	3.88	-0.00	0.00	2.92	5.15	0.93	3	2	1	3
TP53INP2	TP53INP2	4.74	4.74	0.00	0.00	3.12	5.91	1.10	3	3	0	3
GCSAM	GCSAM	-1.47	-1.47	-0.00	0.00	-2.31	0.00	0.59	3	2	3	1
HMOX1	HMOX1	5.70	5.70	0.00	0.00	2.75	8.47	2.45	3	3	0	3
SNAPC5	SNAPC5	1.97	1.97	0.00	0.00	0.77	3.24	1.03	3	3	0	3
NEB	NEB	-3.08	-3.08	-0.00	0.00	-3.98	0.00	0.75	3	3	0	3
RASIP1	RASIP1	-1.71	-1.71	0.00	0.00	-3.11	0.00	1.21	3	3	0	3
PKP1	PKP1	7.73	7.73	-0.00	0.00	6.80	8.71	0.89	3	3	0	3
CD274	CD274	2.54	2.54	-0.00	0.00	1.19	3.89	1.21	3	3	0	3
SOX9-AS1	SOX9-AS1	-2.08	-2.08	0.00	0.00	-6.36	1.23	3.29	3	3	0	3
ZNF23	ZNF23	1.35	1.35	0.00	0.00	0.46	2.28	0.84	3	3	0	3
AKR1B10	AKR1B10	3.04	3.04	0.00	0.00	0.03	5.68	2.33	3	3	0	3
RRP7A	RRP7A	3.45	3.45	-0.00	0.00	2.42	4.60	0.99	3	3	0	3
LOC100130027	LOC100130027	-0.82	-0.82	0.00	0.00	-1.72	0.07	0.75	3	3	1	2
STOX2	STOX2	-1.58	-1.58	0.00	0.00	-3.37	0.50	1.57	3	3	0	3
CCP110	CCP110	2.04	2.04	0.00	0.00	0.51	3.30	1.20	3	3	0	3
NBEAL2	NBEAL2	4.52	4.52	0.00	0.00	3.78	5.34	0.60	3	2	2	2
INAFM2	INAFM2	3.04	3.04	0.00	0.00	1.95	3.90	0.82	3	3	0	3
FBXO24	FBXO24	-1.70	-1.70	0.00	0.00	-3.05	0.00	1.26	3	3	0	3
ELMOD2	ELMOD2	2.83	2.83	-0.00	0.00	1.97	3.57	0.65	3	3	1	2
ARHGAP11A	ARHGAP11A	-0.35	-0.35	-0.00	0.00	-1.46	0.68	0.90	3	3	1	2
SMC5	SMC5	2.75	2.75	-0.00	0.00	1.51	3.82	1.02	3	3	0	3
THBS2	THBS2	-0.79	-0.79	-0.00	0.00	-1.76	0.23	0.80	3	3	0	3
YIF1B	YIF1B	2.74	2.74	-0.00	0.00	2.12	3.55	0.55	3	1	3	2
PPFIBP1	PPFIBP1	3.69	3.69	0.00	0.00	3.10	4.41	0.57	3	2	1	3
CBSL	CBSL	-2.08	-2.08	0.00	0.00	-4.21	0.53	1.95	3	3	0	3
DNAJC15	DNAJC15	2.45	2.45	0.00	0.00	1.52	3.44	0.83	3	3	0	3
NANP	NANP	1.47	1.47	0.00	0.00	0.49	2.46	0.84	3	3	0	3
SPOCK1	SPOCK1	0.40	0.40	0.00	0.00	-1.66	2.00	1.41	3	3	0	3
FAM171B	FAM171B	-1.33	-1.33	0.00	0.00	-2.91	0.57	1.46	3	3	0	3
SLC4A1AP	SLC4A1AP	4.37	4.37	-0.00	0.00	3.61	5.14	0.71	3	3	0	3
MCOLN1	MCOLN1	3.31	3.31	0.00	0.00	2.18	4.59	1.01	3	3	0	3
IGFBP2	IGFBP2	3.66	3.66	0.00	0.00	2.09	4.89	1.18	3	3	0	3
CCDC59	CCDC59	3.10	3.10	0.00	0.00	2.32	3.86	0.63	3	2	2	2
ARNTL	ARNTL	2.26	2.26	-0.00	0.00	1.32	3.11	0.74	3	3	1	2
LOC283299	LOC283299	-1.57	-1.57	-0.00	0.00	-3.59	0.58	1.80	3	3	0	3
ATG16L2	ATG16L2	1.82	1.82	0.00	0.00	1.01	2.96	0.82	3	3	0	3
CBR3-AS1	CBR3-AS1	1.08	1.08	-0.00	0.00	0.28	1.85	0.74	3	3	0	3
MALINC1	MALINC1	-0.08	-0.08	-0.00	0.00	-2.67	2.34	2.32	3	3	0	3
C1orf112	C1orf112	0.02	0.02	0.00	0.00	-1.03	1.01	0.84	3	3	0	3
SRRM1	SRRM1	3.67	3.67	0.00	0.00	2.56	4.57	0.83	3	3	0	3
LRWD1	LRWD1	2.31	2.31	0.00	0.00	1.38	3.11	0.68	3	2	2	2
CLPTM1	CLPTM1	6.00	6.00	0.00	0.00	5.16	6.69	0.62	3	2	3	1
TP53INP1	TP53INP1	4.42	4.42	0.00	0.00	2.93	5.83	1.29	3	3	0	3
SERPINB4	SERPINB4	4.45	4.45	-0.00	0.00	1.50	7.14	2.64	3	3	0	3
SCD	SCD	6.79	6.79	-0.00	0.00	5.33	8.30	1.13	3	3	0	3
POP4	POP4	3.66	3.66	0.00	0.00	2.82	4.57	0.82	3	3	0	3
GTF3A	GTF3A	4.12	4.12	0.00	0.00	3.22	4.92	0.75	3	3	0	3
EGLN3	EGLN3	1.43	1.43	0.00	0.00	-0.28	3.18	1.58	3	3	0	3
TRAPPC4	TRAPPC4	4.09	4.09	0.00	0.00	2.98	5.15	0.94	3	3	0	3
ZSCAN18	ZSCAN18	1.53	1.53	0.00	0.00	0.88	2.13	0.55	3	3	1	2
ELP3	ELP3	2.89	2.89	0.00	0.00	2.17	3.51	0.55	3	2	2	2
CAV2	CAV2	5.02	5.02	-0.00	0.00	4.27	5.72	0.66	3	3	0	3
IRX2	IRX2	3.16	3.16	0.00	0.00	2.24	3.98	0.69	3	2	1	3
GLB1	GLB1	4.95	4.95	0.00	0.00	3.17	6.65	1.61	3	3	0	3
APOBR	APOBR	-2.18	-2.18	-0.00	0.00	-4.27	0.00	1.52	3	3	0	3
CASP8AP2	CASP8AP2	1.73	1.73	0.00	0.00	1.05	2.38	0.55	3	2	2	2
SCARA3	SCARA3	-0.64	-0.64	-0.00	0.00	-2.62	1.31	1.78	3	3	0	3
CANT1	CANT1	4.70	4.70	0.00	0.00	3.89	5.46	0.67	3	3	0	3
NMI	NMI	3.36	3.36	0.00	0.00	2.02	4.40	0.95	3	3	0	3
JKAMP	JKAMP	3.44	3.44	-0.00	0.00	2.69	4.16	0.65	3	2	2	2
ZDBF2	ZDBF2	-0.08	-0.08	-0.00	0.00	-1.40	1.04	1.05	3	3	1	2
GOLPH3	GOLPH3	5.08	5.08	0.00	0.00	4.40	5.68	0.54	3	2	2	2
BEX2	BEX2	0.51	0.51	-0.00	0.00	-0.21	1.44	0.62	3	1	3	2
SPTBN1	SPTBN1	3.96	3.96	0.00	0.00	2.64	5.29	1.18	3	3	0	3
PLK2	PLK2	6.53	6.53	0.00	0.00	5.84	7.27	0.57	3	2	2	2
TYW5	TYW5	1.09	1.09	0.00	0.00	0.37	1.84	0.64	3	2	1	3
TGIF2	TGIF2	-1.16	-1.16	-0.00	0.00	-3.14	0.84	1.50	3	3	0	3
IL15	IL15	-1.13	-1.13	0.00	0.00	-4.10	1.45	2.39	3	3	0	3
