ProbeID	Ptr	Name
ENSG00000174804	61751	FZD4
ENSG00000164930	61988	FZD6
ENSG00000188763	62225	FZD9
ENSG00000099860	62462	GADD45B
ENSG00000102145	62707	GATA1
ENSG00000179348	62945	GATA2
ENSG00000107485	63183	GATA3
ENSG00000141448	63419	GATA6
ENSG00000131979	63657	GCH1
ENSG00000164949	63896	GEM
ENSG00000090863	64132	GLG1
ENSG00000065135	64375	GNAI3
ENSG00000169508	64611	GPR183
ENSG00000140030	64851	GPR65
ENSG00000030582	65088	GRN
ENSG00000148180	65323	GSN
ENSG00000145736	65560	GTF2H2
ENSG00000145649	65797	GZMA
ENSG00000113249	66046	HAVCR1
ENSG00000135077	66285	HAVCR2
ENSG00000113070	66530	HBEGF
ENSG00000108840	66769	HDAC5
ENSG00000094631	67005	HDAC6
ENSG00000140287	67245	HDC
ENSG00000114315	67482	HES1
ENSG00000019991	67721	HGF
ENSG00000100644	67957	HIF1A
ENSG00000130787	68204	HIP1R
ENSG00000187837	68441	HIST1H1C
ENSG00000203812	68690	HIST2H2AA3
ENSG00000095951	68936	HIVEP1
ENSG00000204257	69173	HLA-DMA
ENSG00000179344	69411	HLA-DQB1
ENSG00000189403	69653	HMGB1
ENSG00000275410	69888	HNF1B
ENSG00000170166	70126	HOXD4
ENSG00000164120	70364	HPGD
ENSG00000163106	70602	HPGDS
ENSG00000174775	70840	HRAS
ENSG00000142798	71081	HSPG2
ENSG00000090339	71319	ICAM1
ENSG00000163600	71553	ICOS
ENSG00000160223	71791	ICOSLG
ENSG00000125968	72032	ID1
ENSG00000115738	72268	ID2
ENSG00000117318	72513	ID3
ENSG00000131203	72749	IDO1
ENSG00000188676	72989	IDO2
ENSG00000137331	73226	IER3
ENSG00000185745	73462	IFIT1
ENSG00000188379	73699	IFNA2
ENSG00000111537	73937	IFNG
ENSG00000027697	74175	IFNGR1
ENSG00000017427	74424	IGF1
ENSG00000167244	74661	IGF2
ENSG00000263528	74898	IKBKE
ENSG00000185811	75137	IKZF1
ENSG00000136634	75384	IL10
ENSG00000110324	75621	IL10RA
ENSG00000168811	75871	IL12A
ENSG00000113302	76110	IL12B
ENSG00000164136	76349	IL15
ENSG00000134470	76587	IL15RA
ENSG00000177663	76826	IL17RA
ENSG00000150782	77060	IL18
ENSG00000115604	77297	IL18R1
ENSG00000115008	77535	IL1A
ENSG00000125538	77772	IL1B
ENSG00000115594	78011	IL1R1
ENSG00000115602	78249	IL1RL1
ENSG00000136689	78490	IL1RN
ENSG00000109471	78729	IL2
ENSG00000103522	78965	IL21R
ENSG00000127318	79200	IL22
ENSG00000110944	79436	IL23A
ENSG00000166090	79677	IL25
ENSG00000197272	79914	IL27
ENSG00000104998	80152	IL27RA
ENSG00000164399	80390	IL3
ENSG00000137033	80625	IL33
ENSG00000185291	80862	IL3RA
ENSG00000113520	81100	IL4
ENSG00000104951	81335	IL4I1
ENSG00000077238	81574	IL4R
ENSG00000113525	81810	IL5
ENSG00000091181	82046	IL5RA
ENSG00000136244	82284	IL6
ENSG00000160712	82521	IL6R
ENSG00000145839	82757	IL9
ENSG00000186480	82993	INSIG1
ENSG00000171105	83238	INSR
ENSG00000125347	83475	IRF1
ENSG00000168310	83718	IRF2
ENSG00000137265	83951	IRF4
ENSG00000128604	84186	IRF5
ENSG00000140968	84424	IRF8
ENSG00000187608	84663	ISG15
ENSG00000115232	84902	ITGA4
ENSG00000161638	85137	ITGA5
ENSG00000005844	85377	ITGAL
ENSG00000169896	85623	ITGAM
ENSG00000140678	85856	ITGAX
ENSG00000150093	86099	ITGB1
ENSG00000160255	86347	ITGB2
ENSG00000139626	86593	ITGB7
ENSG00000101384	86831	JAG1
ENSG00000105639	87069	JAK3
ENSG00000160593	87304	JAML
ENSG00000177606	87545	JUN
ENSG00000160145	87781	KALRN
ENSG00000169282	88014	KCNAB1
	88253	KIAA0101
ENSG00000112984	88480	KIF20A
ENSG00000157404	88719	KIT
ENSG00000049130	88958	KITLG
ENSG00000155090	89197	KLF10
ENSG00000142515	89439	KLK3
ENSG00000213809	89676	KLRK1
ENSG00000133619	89925	KRBA1
ENSG00000089692	90163	LAG3
ENSG00000172037	90402	LAMB2
ENSG00000196878	90640	LAMB3
ENSG00000078081	90878	LAMP3
ENSG00000162511	91118	LAPTM5
ENSG00000213658	91369	LAT
ENSG00000086730	91603	LAT2
ENSG00000130164	91844	LDLR
ENSG00000131981	92083	LGALS3
ENSG00000128342	92324	LIF
ENSG00000107798	92561	LIPA
ENSG00000134013	92783	LOXL2
ENSG00000175445	93023	LPL
ENSG00000162337	93259	LRP5
ENSG00000070018	93497	LRP6
ENSG00000204482	93734	LST1
ENSG00000226979	93972	LTA
ENSG00000111144	94210	LTA4H
ENSG00000227507	94447	LTB
ENSG00000213903	94685	LTB4R
ENSG00000213906	94922	LTB4R2
ENSG00000185022	95160	MAFF
ENSG00000172175	95400	MALT1
ENSG00000104774	95637	MAN2B1
ENSG00000169032	95874	MAP2K1
ENSG00000126934	96116	MAP2K2
ENSG00000034152	96352	MAP2K3
ENSG00000065559	96591	MAP2K4
ENSG00000006062	96828	MAP3K14
ENSG00000085511	97067	MAP3K4
ENSG00000185386	97305	MAPK11
ENSG00000188130	97546	MAPK12
ENSG00000156711	97785	MAPK13
ENSG00000112062	98024	MAPK14
ENSG00000175130	98270	MARCKSL1
ENSG00000019169	98510	MARCO
ENSG00000153208	98748	MERTK
ENSG00000105976	98985	MET
ENSG00000240972	99222	MIF
ENSG00000196611	99467	MMP1
ENSG00000262406	99703	MMP12
ENSG00000137745	99941	MMP13
ENSG00000123342	100179	MMP19
ENSG00000118113	100416	MMP8
ENSG00000100985	100653	MMP9
ENSG00000080823	100891	MOK
ENSG00000197629	101127	MPEG1
ENSG00000005381	101363	MPO
ENSG00000260314	101600	MRC1
ENSG00000011028	101838	MRC2
ENSG00000156738	102076	MS4A1
ENSG00000178860	102314	MSC
ENSG00000095002	102550	MSH2
ENSG00000157601	102784	MX1
ENSG00000183486	103023	MX2
ENSG00000136997	103258	MYC
ENSG00000172936	103495	MYD88
ENSG00000264424	103731	MYH4
ENSG00000129152	103968	MYOD1
ENSG00000105835	104207	NAMPT
ENSG00000116701	104448	NCF2
ENSG00000141027	104683	NCOR1
ENSG00000080986	104929	NDC80
ENSG00000267855	105163	NDUFA7
ENSG00000131196	105402	NFATC1
ENSG00000101096	105641	NFATC2
ENSG00000165030	105892	NFIL3
ENSG00000109320	106129	NFKB1
ENSG00000100906	106365	NFKBIA
ENSG00000146232	106614	NFKBIE
ENSG00000144802	106849	NFKBIZ
ENSG00000066136	107088	NFYC
ENSG00000134259	107324	NGF
ENSG00000105374	107560	NKG7
ENSG00000162711	107805	NLRP3
ENSG00000197696	108042	NMB
ENSG00000106100	108278	NOD1
ENSG00000167207	108516	NOD2
ENSG00000007171	108755	NOS2
ENSG00000007952	108993	NOX1
ENSG00000074771	109230	NOX3
ENSG00000086991	109467	NOX4
ENSG00000025434	109704	NR1H3
ENSG00000160113	109943	NR2F6
ENSG00000153234	110183	NR4A2
ENSG00000175352	110422	NRIP3
ENSG00000173391	110657	OLR1
ENSG00000099985	110896	OSM
ENSG00000108405	111131	P2RX1
ENSG00000185630	111369	PBX1
ENSG00000167081	111607	PBX3
ENSG00000188389	111845	PDCD1
ENSG00000197646	112084	PDCD1LG2
ENSG00000065989	112325	PDE4A
ENSG00000197461	112561	PDGFA
ENSG00000100311	112799	PDGFB
ENSG00000134853	113037	PDGFRA
ENSG00000162366	113276	PDZK1IP1
ENSG00000197329	113517	PELI1
ENSG00000163737	113752	PF4
ENSG00000204220	113988	PFDN6
ENSG00000164219	114225	PGGT1B
ENSG00000008438	114462	PGLYRP1
ENSG00000181649	114702	PHLDA2
ENSG00000105851	114938	PIK3CG
ENSG00000102096	115188	PIM2
ENSG00000122861	115430	PLAU
ENSG00000011422	115668	PLAUR
ENSG00000132170	115907	PPARG
ENSG00000186652	116146	PRG2
ENSG00000156575	116384	PRG3
ENSG00000154229	116621	PRKCA
ENSG00000163558	116858	PRKCI
ENSG00000163421	117095	PROK2
ENSG00000184500	117332	PROS1
ENSG00000116132	117567	PRRX1
ENSG00000204264	117807	PSMB8
ENSG00000240065	118055	PSMB9
ENSG00000100911	118302	PSME2
ENSG00000169403	118547	PTAFR
ENSG00000168229	118787	PTGDR
ENSG00000183134	119027	PTGDR2
ENSG00000107317	119266	PTGDS
ENSG00000125384	119505	PTGER2
ENSG00000095303	119749	PTGS1
ENSG00000073756	119987	PTGS2
ENSG00000152104	120227	PTPN14
ENSG00000127329	120466	PTPRB
ENSG00000081237	120704	PTPRC
ENSG00000152894	120954	PTPRK
ENSG00000163661	121191	PTX3
ENSG00000139832	121429	RAB20
ENSG00000105514	121666	RAB3D
ENSG00000051180	121902	RAD51
ENSG00000132155	122139	RAF1
ENSG00000091428	122375	RAPGEF4
ENSG00000111344	122615	RASAL1
ENSG00000113319	122853	RASGRF2
ENSG00000163515	123090	RETNLB
ENSG00000090104	123330	RGS1
ENSG00000182732	123568	RGS6
ENSG00000155366	123807	RHOC
ENSG00000177105	124040	RHOG
ENSG00000126785	124276	RHOJ
ENSG00000164327	124513	RICTOR
ENSG00000104312	124752	RIPK2
ENSG00000169385	124987	RNASE2
ENSG00000169397	125226	RNASE3
ENSG00000115963	125465	RND3
ENSG00000047936	125702	ROS1
ENSG00000124813	125939	RUNX2
ENSG00000197747	126176	S100A10
ENSG00000196154	126418	S100A4
ENSG00000143546	126667	S100A8
ENSG00000163220	126905	S100A9
ENSG00000170989	127144	S1PR1
ENSG00000173432	127382	SAA1
ENSG00000006747	127619	SCIN
ENSG00000007908	127856	SELE
ENSG00000188404	128093	SELL
ENSG00000174175	128329	SELP
ENSG00000110876	128566	SELPLG
ENSG00000196189	128805	SEMA4A
ENSG00000185033	129046	SEMA4B
ENSG00000112902	129285	SEMA5A
ENSG00000137872	129524	SEMA6D
ENSG00000197632	129763	SERPINB2
ENSG00000170542	130005	SERPINB9
ENSG00000106366	130256	SERPINE1
ENSG00000253309	130497	SERPINE3
ENSG00000106483	130738	SFRP4
ENSG00000126821	130976	SGPP1
ENSG00000088827	131213	SIGLEC1
ENSG00000105501	131452	SIGLEC5
ENSG00000198053	131691	SIRPA
ENSG00000157933	131929	SKI
ENSG00000136603	132166	SKIL
ENSG00000108932	132404	SLC16A6
ENSG00000170365	132641	SMAD1
ENSG00000175387	132879	SMAD2
ENSG00000101665	133124	SMAD7
ENSG00000082014	133373	SMARCD3
ENSG00000185338	133612	SOCS1
ENSG00000120833	133850	SOCS2
ENSG00000184557	134087	SOCS3
ENSG00000105866	134323	SP4
ENSG00000176170	134555	SPHK1
ENSG00000136158	134794	SPRY2
ENSG00000115306	135029	SPTBN1
ENSG00000161011	135274	SQSTM1
ENSG00000010327	135522	STAB1
ENSG00000115415	135762	STAT1
ENSG00000168610	136011	STAT3
ENSG00000138378	136256	STAT4
ENSG00000126561	136505	STAT5A
ENSG00000173757	136749	STAT5B
ENSG00000166888	136991	STAT6
ENSG00000164543	137230	STK17A
ENSG00000165025	137478	SYK
ENSG00000168394	137713	TAP1
ENSG00000204267	137948	TAP2
ENSG00000231925	138181	TAPBP
ENSG00000129566	138429	TEP1
ENSG00000135457	138665	TFCP2
ENSG00000163235	138903	TGFA
ENSG00000105329	139138	TGFB1
ENSG00000069702	139385	TGFBR3
ENSG00000198959	139631	TGM2
ENSG00000178726	139868	THBD
ENSG00000181847	140105	TIGIT
ENSG00000145850	140341	TIMD4
ENSG00000100234	140579	TIMP3
ENSG00000174125	140818	TLR1
ENSG00000174123	141053	TLR10
ENSG00000137462	141292	TLR2
ENSG00000164342	141530	TLR3
ENSG00000136869	141768	TLR4
ENSG00000187554	142005	TLR5
ENSG00000174130	142240	TLR6
ENSG00000196664	142478	TLR7
ENSG00000101916	142716	TLR8
ENSG00000239732	142955	TLR9
ENSG00000064115	143191	TM7SF3
ENSG00000184584	143428	TMEM173
ENSG00000041982	143667	TNC
ENSG00000232810	143903	TNF
ENSG00000118503	144141	TNFAIP3
ENSG00000123610	144391	TNFAIP6
ENSG00000145779	144633	TNFAIP8
ENSG00000141655	144872	TNFRSF11A
ENSG00000006327	145119	TNFRSF12A
ENSG00000157873	145360	TNFRSF14
ENSG00000067182	145602	TNFRSF1A
ENSG00000028137	145839	TNFRSF1B
ENSG00000186827	146079	TNFRSF4
ENSG00000120949	146319	TNFRSF8
ENSG00000049249	146560	TNFRSF9
ENSG00000121858	146798	TNFSF10
ENSG00000117586	147043	TNFSF4
ENSG00000125657	147280	TNFSF9
ENSG00000131747	147519	TOP2A
ENSG00000172236	147760	TPSAB1
ENSG00000056558	147999	TRAF1
ENSG00000127191	148244	TRAF2
ENSG00000175104	148482	TRAF6
ENSG00000135148	148717	TRAFD1
ENSG00000124731	148957	TREM1
ENSG00000095970	149194	TREM2
ENSG00000213689	149432	TREX1
ENSG00000127324	149667	TSPAN8
ENSG00000112742	149906	TTK
ENSG00000167552	150143	TUBA1A
ENSG00000127824	150382	TUBA4A
ENSG00000105849	150619	TWISTNB
ENSG00000136810	150856	TXN
ENSG00000087301	151102	TXNDC16
ENSG00000011600	151341	TYROBP
ENSG00000184979	151586	USP18
ENSG00000220205	151826	VAMP2
ENSG00000125753	152067	VASP
ENSG00000141968	152306	VAV1
ENSG00000160293	152539	VAV2
ENSG00000162692	152774	VCAM1
ENSG00000112715	153015	VEGFA
ENSG00000150630	153252	VEGFC
ENSG00000028116	153489	VRK2
ENSG00000134258	153722	VTCN1
ENSG00000110002	153960	VWA5A
ENSG00000015285	154196	WAS
ENSG00000173578	154430	XCR1
ENSG00000137693	154667	YAP1
ENSG00000176105	154902	YES1
ENSG00000189420	155142	ZFP92
ENSG00000163848	155379	ZNF148
ENSG00000180233	155609	ZNRF2
ENSG00000204574	155850	ABCF1
ENSG00000006530	156088	AGK
ENSG00000023330	156321	ALAS1
ENSG00000144233	156560	AMMECR1L
ENSG00000154222	156801	CC2D1B
ENSG00000182973	157036	CNOT10
ENSG00000080802	157273	CNOT4
ENSG00000168434	157508	COG7
ENSG00000107625	157742	DDX50
ENSG00000204560	157976	DHX16
ENSG00000135392	158209	DNAJC14
ENSG00000179151	158447	EDC3
ENSG00000115211	158682	EIF2B4
ENSG00000163161	158920	ERCC3
ENSG00000119616	159159	FCF1
ENSG00000160211	159404	G6PD
ENSG00000198746	159643	GPATCH3
ENSG00000169919	159885	GUSB
ENSG00000171720	160118	HDAC3
ENSG00000165704	160356	HPRT1
ENSG00000144029	160593	MRPS5
ENSG00000163719	160827	MTMR14
ENSG00000225921	161064	NOL7
ENSG00000103274	161299	NUBP1
ENSG00000181222	161535	POLR2A
ENSG00000196262	161771	PPIA
ENSG00000134748	162018	PRPF38A
ENSG00000136715	162266	SAP130
ENSG00000073578	162503	SDHA
ENSG00000183431	162739	SF3A3
ENSG00000112592	162973	TBP
ENSG00000146872	163207	TLK2
ENSG00000168591	163442	TMUB2
ENSG00000204599	163681	TRIM39
ENSG00000196230	163919	TUBB
ENSG00000168883	164163	USP39
ENSG00000100722	164396	ZC3H14
ENSG00000196652	164632	ZKSCAN5
ENSG00000166478	164873	ZNF143
ENSG00000113761	165111	ZNF346
	165348	ERCC_00096.1
	165564	ERCC_00041.1
	165782	ERCC_00019.1
	165985	ERCC_00076.1
	166189	ERCC_00098.1
	166405	ERCC_00126.1
	166635	ERCC_00144.1
	166837	ERCC_00154.1
	167055	ERCC_00117.1
	167294	ERCC_00112.1
	167532	ERCC_00002.1
	167771	ERCC_00092.1
	168005	ERCC_00035.1
	168237	ERCC_00034.1
